lv	combat_level
实际等级	战斗时偏斜等级
	
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	2
39	3
40	4
41	5
42	6
43	7
44	8
45	9
46	10
47	11
48	12
49	13
50	14
51	15
52	16
53	17
54	18
55	19
56	20
57	21
58	22
59	23
60	24
61	25
62	26
63	27
64	28
65	29
66	30
67	31
68	32
69	33
70	34
71	35
72	36
73	37
74	38
75	39
76	40
77	41
78	42
79	43
80	44
81	45
82	46
83	47
84	48
85	49
86	50
87	51
88	52
89	53
90	54
91	55
92	56
93	57
94	58
95	59
96	60
97	61
98	62
99	63
100	64
101	65
102	66
103	67
104	68
105	69
106	70
107	71
108	72
109	73
110	74
111	75
112	76
113	77
114	78
115	79
116	80
117	81
118	82
119	83
120	84
121	85
122	86
123	87
124	88
125	89
126	90
127	91
128	92
129	93
130	94
131	95
132	96
133	97
134	98
135	99
136	100
137	101
138	102
139	103
140	104
141	105
142	106
143	107
144	108
145	109
146	110
147	111
148	112
149	112
150	112
151	112
152	112
153	112
154	112
155	112
156	112
157	112
158	112
159	112
160	112
161	125
162	126
163	127
164	128
165	129
166	130
167	131
168	132
169	133
170	134
171	135
172	136
173	136
174	136
175	136
176	136
177	136
178	136
179	136
180	136
181	137
182	138
183	139
184	140
185	141
186	142
187	143
188	144
