ActionName	type
*以动作名为ID[N]	类型[N]
CG_fall001b_loop	表演
CG_fall001c_定帧	表演
CG_m56_01_attack	表演
CG_m62_01_sit001a	表演
CG_m62_01_sit001b	表演
CG_m62_01_sit001c	表演
CG_marten001_lo	表演
CG_roll002_shifa	表演
CG_shifa	表演
CG_shifa_look	表演
CG_shifa_look_lo	表演
CG_shifa_look_y09	表演
CG_ssgs_throw	表演
CG_v07_01_emo004	表演
CG_v07_01_emo016	表演
CG_WD_F_01a	表演
CG_WD_M_01a	表演
CG_wz306_emo005_male	表演
CG_wz306_emo006_female	表演
CG_wz306_emo006_male	表演
CG_wz306_emo007_female	表演
CG_wz306_emo007_male	表演
CG_wz306_emo009_female	表演
CG_wz306_emo009_male	表演
CG_乱斗巨人_进场	表演
CG_乱斗巨人_进场2	表演
CG_乱斗巨人_死亡	表演
CG_乱斗乌龟_出场	表演
CG_乱斗乌龟_离场01	表演
CG_乱斗乌龟_离场02	表演
CG_武睿变身01	表演
CS_骑马	表演
fire_idle_a	表演
fire_idle_b	表演
fire_switch_a	表演
fire_switch_b_a	表演
fire_switch_b_b	表演
fire_switch_b_c	表演
freeze_chase_1	表演
freeze_chase_2	表演
freeze_chase_3	表演
freeze_fear_1	表演
freeze_fear_2	表演
freeze_fear_3	表演
freeze_madness_1	表演
freeze_madness_2	表演
freeze_madness_3	表演
freeze_wait001_ds	表演
freezetime	表演
gear_296_idle_a	表演
gear_296_idle_b	表演
gear_296_idle_c	表演
gear_296_idle_d	表演
gem	表演
idle_ground_地表绿色粘液_loop	表演
idle_ground_流紫香风伞被修_loop	表演
idle_ground_珑瑛法阵_loop	表演
idle_huangrenshoukong	表演
idle_jump_小白龙退场	表演
idle_kneel_freeze	表演
idle_kneel_ground_侍元中毒表演	表演
idle_lhg_地道出口_loop	表演
idle_lhg_地道指引路标	表演
idle_lhg堙兽有盾_loop	表演
idle_lhg中毒_loop	表演
idle_lianzhi_loop	表演
idle_lie_base11_闭眼_loop	表演
idle_lie_base12_闭眼_loop	表演
idle_lie_c05_loop	表演
idle_lie_死亡_loop	表演
idle_lxt_羽毛调查_in	表演
idle_lxt_羽毛调查_loop	表演
idle_lxt_羽毛调查_out	表演
idle_m62_爆发的怨气	表演
idle_m62_剑气和剑痕	表演
idle_m62天玄教法阵	表演
idle_stand_ground_阿绵施法_流花宫禁地表演_loop	表演
idle_stand_ground_风茗出场	表演
idle_stand_ground_狐玉藻被击倒表演	表演
idle_stand_ground_蓼萍草表演_b	表演
idle_stand_ground_灵狐幻术表演_loop	表演
idle_stand_ground_灵狐幻术表演_out	表演
idle_stand_ground_灵狐幻术表演_up	表演
idle_stand_ground_遥夜悬梦鉴勾连_梅花环_out	表演
idle_stand_ground_悠悠出现	表演
idle_stand_ground_悠悠同生枝表演_in	表演
idle_stand_ground_悠悠同生枝表演_loop	表演
idle_stand_ground_悠悠同生枝表演_out	表演
idle_stand_injured02_桤木表演_loop	表演
idle_stand_injured02_侍道受伤被治疗_loop	表演
idle_stand_lady_pose_悠悠同生枝表演	表演
idle_stand_被昆吾子传送_loop	表演
idle_stand_辰溪疗伤_loop	表演
idle_stand_出生_cg	表演
idle_stand_俄净出现_a	表演
idle_stand_俄净施法表演_loop	表演
idle_stand_封印法施法_宫啸表演_in_txj	表演
idle_stand_封印法施法_宫啸表演_loop_txj	表演
idle_stand_伏羲_递东西	表演
idle_stand_符灵狼出现	表演
idle_stand_狐玉藻人形开盾表演_b	表演
idle_stand_花灯点亮状态_loop	表演
idle_stand_荒神教厉鬼被激怒表演	表演
idle_stand_荒神教厉鬼狂暴_out	表演
idle_stand_剑舞	表演
idle_stand_江看花灵体出现_loop	表演
idle_stand_孔明灯_in	表演
idle_stand_孔明灯_loop	表演
idle_stand_孔明灯_out	表演
idle_stand_灵力裂缝_loop	表演
idle_stand_灵力裂缝_out	表演
idle_stand_女鬼弹琵琶_loop	表演
idle_stand_莎娅狂暴_loop	表演
idle_stand_天降出现	表演
idle_stand_小白龙出场	表演
idle_stand_元宵加福缘	表演
idle_被附身的木灵_loop	表演
idle_被附身的木灵ghost_loop	表演
idle_表演_饮茶（文雅版)	表演
idle_藏品午后时光_in	表演
idle_藏品午后时光_loop	表演
idle_藏品午后时光_out	表演
idle_出场表演_cz	表演
idle_道路指引_loop	表演
idle_道路指引01_loop	表演
idle_伏羲献食物_loop	表演
idle_福器降临_loop	表演
idle_蛊虫培养_loop	表演
idle_冠月树枝邪气持续_loop	表演
idle_冠月树枝邪气治疗_loop	表演
idle_冠月树枝邪气治疗异芳	表演
idle_冠月树枝邪气治愈	表演
idle_鹤童变身	表演
idle_汲取碧水精	表演
idle_结合净水偃甲后	表演
idle_净水和仙枝合成	表演
idle_九霆剑	表演
idle_九霆剑_circle	表演
idle_九霆剑_circle02	表演
idle_九霆剑_circle03	表演
idle_空支架_loop	表演
idle_蓝色符文封墙_loop	表演
idle_蓝色施法追踪_loop	表演
idle_琅泉界桥空间裂隙	表演
idle_黎觞羽特效封墙	表演
idle_李令双重伤被带走	表演
idle_炼制狐狸_loop	表演
idle_灵魂飘散	表演
idle_龙脉灵气_in	表演
idle_龙脉灵气_loop	表演
idle_龙脉灵气_out	表演
idle_龙吟金冶炼_sydt	表演
idle_梅花环消失_loop	表演
idle_浓郁邪气_loop	表演
idle_燃香_loop	表演
idle_书_竖立	表演
idle_锁香阵_loop	表演
idle_锁香阵_out	表演
idle_顽火祭坛火焰_loop	表演
idle_逸音弹琴_loop	表演
idle_站立吃东西	表演
idle_站立喝酒	表演
item_spell_track_a	表演
item_spell_track_b	表演
item_spell_track_c	表演
item_spell_track_d	表演
item_spell_track_e	表演
joi01	表演
joi02	表演
jol01	表演
jol01_a	表演
jol01_b	表演
jol01_bz	表演
jol01_c	表演
jol01_cb	表演
jol01_cg	表演
jol01_cz	表演
jol01_cz_a	表演
jol01_cz_b	表演
jol01_cz_c	表演
jol01_ds	表演
jol01_fz	表演
jol01_ss	表演
jol02	表演
jol02_cb	表演
jol02_ss	表演
jol03	表演
jol03_melee	表演
jol04	表演
jol05	表演
jol06_a_ds	表演
jol06_b_ds	表演
jol06_c_ds	表演
jol06_ds	表演
jol06_ds_a	表演
jol06_ds_b	表演
jol06_ds_c	表演
jol07_a_ds	表演
jol07_b_ds	表演
jol07_c_ds	表演
jol07_ds	表演
jol07_ds_a	表演
jol07_ds_b	表演
jol07_ds_c	表演
jol08_a_ds	表演
jol08_b_ds	表演
jol08_c_ds	表演
jol08_ds_a	表演
jol08_ds_b	表演
jol08_ds_c	表演
light_idle_a	表演
light_idle_b	表演
light_on	表演
light_switch_a	表演
light_switch_b_a	表演
light_switch_b_b	表演
light_switch_b_c	表演
long_01	表演
long_01a	表演
long_02	表演
long_02a	表演
long_03	表演
long_03a	表演
loveu_track_a	表演
loveu_track_b	表演
loveu_track_c	表演
m62洞口净化法阵_a	表演
m62工坊封门	表演
npc_机关_施法蓝_b	表演
OB_咆哮_a	表演
OB_咆哮_b	表演
OB_咆哮_c	表演
OB_咆哮_d	表演
OB_咆哮_e	表演
OB_召唤顽火石_a	表演
OB_召唤顽火石_b	表演
OB_召唤顽火石_c	表演
OB_召唤顽火石_d	表演
OB_召唤顽火石_e	表演
on_stage	表演
portalsound	表演
qingdengspell_track_a	表演
qingdengspell_track_b	表演
qingdengspell_track_c	表演
switch_a_b	表演
switch_b_a	表演
swordfromsky	表演
thunder_a	表演
thunder_b	表演
thunder_c	表演
thunder_d	表演
thunder_e	表演
thunder_idle_a	表演
thunder_idle_b	表演
thunder_switch_a	表演
thunder_switch_b_a	表演
thunder_switch_b_b	表演
thunder_switch_b_c	表演
trail_test001	表演
v03_束缚待机	表演
w_装备特效专用	表演
water_idle_a	表演
water_idle_b	表演
water_switch_a	表演
water_switch_b_a	表演
water_switch_b_b	表演
water_switch_b_c	表演
WD_F_02a	表演
wood_idle_a	表演
wood_idle_b	表演
wood_switch_a	表演
wood_switch_b_a	表演
wood_switch_b_b	表演
wood_switch_b_c	表演
yaoyemirror_track_a	表演
yaoyemirror_track_b	表演
yaoyemirror_track_c	表演
yaoyespell_track_a	表演
yaoyespell_track_b	表演
yaoyespell_track_c	表演
yaoyespell_track_简化_b	表演
yaoyespellshow_a	表演
yaoyespellshow_b	表演
yaoyespellshow_c	表演
表演_interact_fishing_loop	表演
表演_拔仙台灵气	表演
表演_被束缚	表演
表演_出场	表演
表演_吹笛_b	表演
表演_打破血罐子_a	表演
表演_打破血罐子_b	表演
表演_打破血罐子_c	表演
表演_弹琴_b	表演
表演_道标（维持箭头）_b	表演
表演_道标_a	表演
表演_道标_b	表演
表演_道标_b_loop	表演
表演_道标_c	表演
表演_道标_c_loop	表演
表演_道标_d	表演
表演_道标_d_loop	表演
表演_地狱图	表演
表演_地狱图(空白)	表演
表演_定格_CG_squat_p	表演
表演_定格_tjshadow01	表演
表演_定格_tjshadow02	表演
表演_定格_tjshadow03	表演
表演_锻造赤羽位置红圈_a	表演
表演_鹅喝水	表演
表演_鹅坐着	表演
表演_风筝	表演
表演_贯金石	表演
表演_鬼死亡消散	表演
表演_鬼站立登场	表演
表演_鬼站立消散	表演
表演_喝净意清心露	表演
表演_喝凝丹水	表演
表演_黑烟	表演
表演_寄身相封印法	表演
表演_监狱法阵	表演
表演_近战范围攻击_cf_a	表演
表演_近战范围攻击_cf_b	表演
表演_近战范围攻击_cf_c	表演
表演_敬茶	表演
表演_鞠金城喝酒	表演
表演_扛箱子_d	表演
表演_狂暴技能_cb	表演
表演_炉子烧书	表演
表演_路面箭头（黄色）	表演
表演_麦子	表演
表演_猫坐着	表演
表演_青灯吸收_b	表演
表演_青灯吸收_c	表演
表演_人殉符灵出现_a	表演
表演_人殉献祭_a	表演
表演_人殉献祭_b	表演
表演_尙非乐喝酒	表演
表演_神一道天净化阵	表演
表演_树被砍倒	表演
表演_死亡消散	表演
表演_跳舞	表演
表演_投掷	表演
表演_围棋	表演
表演_吸附攻击_cf_a	表演
表演_吸附攻击_cf_b	表演
