ID	name	filepath	type
*以文件名为ID	文件对应中文名[N]	文件路径	文件类型
drop_belt.avatar	？？？	asset\avatar	0
fjh014_tjlz_shadow.avatar	“大妖之影”	asset\avatar	0
mjh009_tjlz_shadow.avatar	“大妖之影”2	asset\avatar	0
furniture_curio_544.avatar	“人生赢家”	asset\avatar	0
nil_m62_tizi.avatar	《荔子歌》节选	asset\avatar	0
furniture_curio_055.avatar	《逸尘记》	asset\avatar	0
drop_book.avatar	《长阜春外春》	asset\avatar	0
fgirl501_501_100_l1.avatar	15岁少女1	asset\avatar	0
fgirl501_501_200_l1.avatar	15岁少女2	asset\avatar	0
fgirl501_501_l1.avatar	15岁少女3	asset\avatar	0
mboy501_501_l1.avatar	17岁少年	asset\avatar	0
furniture_box_025_l1_whitelight.avatar	1级宝箱	asset\avatar	0
elemental_001_l1_icewhitelight.avatar	1级怪	asset\avatar	0
furniture_box_025_l1_greenlight.avatar	2级宝箱	asset\avatar	0
elemental_001_l1_icegreenlight.avatar	2级怪	asset\avatar	0
furniture_box_025_l1_bluelight.avatar	3级宝箱	asset\avatar	0
elemental_001_l1_icebluelight.avatar	3级怪	asset\avatar	0
furniture_box_025_l1_purplelight.avatar	4级宝箱	asset\avatar	0
elemental_001_l1_icepurplelight.avatar	4级怪	asset\avatar	0
furniture_box_025_l1_pinklight.avatar	5级宝箱	asset\avatar	0
elemental_001_l1_icepinklight.avatar	5级怪	asset\avatar	0
wall_003_20m_square.avatar	BOSS封边墙(502高#503低）	asset\avatar	0
mtj000_100_h005_ghost.avatar	阿贵	asset\avatar	0
wood2_gzw_plant219.avatar	阿蕙	asset\avatar	0
froger_hmdb_aj.avatar	阿金	asset\avatar	0
lolilhgam_000_l1.avatar	阿绵1	asset\avatar	8
luolilhgam_000_f000_l1.avatar	阿绵2	asset\avatar	8
f_lhg_loli_ani.avatar	阿霓	asset\avatar	0
fxfshat_000_l1.avatar	阿桃	asset\avatar	0
froger_hmdb_ay.avatar	阿银	asset\avatar	0
lyfayue_000_l1.avatar	阿月	asset\avatar	8
mjh504_000_f000_h504_ghost.avatar	哀求的游魂	asset\avatar	0
pet_winter_pear.avatar	艾汐梨	asset\avatar	0
pet_winter_pear_dl.avatar	艾汐梨2	asset\avatar	0
small_platform_24b_snow.avatar	艾汐梨的窝	asset\avatar	0
mjh008_100_f000_h008.avatar	安闻达	asset\avatar	0
nil_mz304a_001.avatar	暗灵祭器	asset\avatar	0
dark2_000_l1.avatar	暗奴	asset\avatar	0
dark_000_l1.avatar	暗邪之眼	asset\avatar	0
shrimper_xiabing_l1.avatar	鳌虾精锐战士	asset\avatar	0
mxiyusuicong_102_l1.avatar	巴旦木	asset\avatar	0
mjh001_201_f000_h001.avatar	巴甲	asset\avatar	0
mjh005_000_f000.avatar	巴拉提	asset\avatar	0
mbayaner_000_l1.avatar	巴彦尔1	asset\avatar	0
mbayaner_000_l1_nake.avatar	巴彦尔2	asset\avatar	0
gzw236.avatar	芭蕉扇	asset\avatar	0
ftxj_bcc_l1.avatar	白茶茶	asset\avatar	0
khajiit_huyao_001_l40.avatar	白垩	asset\avatar	0
lb_mf_ball.avatar	白方块	asset\avatar	0
monsterTest_tentacle_000_l2.avatar	白骨花	asset\avatar	0
msydt000_000_morphface000.avatar	白鹤观弟子	asset\avatar	0
msydt000_200_morphface000.avatar	白鹤观弟子2	asset\avatar	0
ride_tiger_000_l30.avatar	白虎1	asset\avatar	0
ride_tiger_wyy_000_l1.avatar	白虎2	asset\avatar	0
tiger_001_l1_stone.avatar	白虎3	asset\avatar	0
statue_310_light.avatar	白蛟1	asset\avatar	0
mxbl_000_l1_block.avatar	白蛟2	asset\avatar	0
statue_CG_310_blue.avatar	白蛟3	asset\avatar	0
mxbl_000_l1.avatar	白蛟4	asset\avatar	0
mxbl_202_l1.avatar	白蛟5	asset\avatar	0
statue_CG_310.avatar	白蛟6	asset\avatar	0
statue_310.avatar	白蛟本体	asset\avatar	0
furniture_curio_228.avatar	白蛟项圈	asset\avatar	0
tiger_001_l1.avatar	白老虎	asset\avatar	0
ride_tiger_000_l1.avatar	白灵虎1	asset\avatar	0
tiger_001_l30.avatar	白灵虎2	asset\avatar	0
fzfbq_000_l1.avatar	白浅1	asset\avatar	2
fzfbq_000_l1_young.avatar	白浅2	asset\avatar	2
fzfbq_000_l2.avatar	白浅3	asset\avatar	2
fzfbq_d45_000_l1.avatar	白浅4	asset\avatar	2
fjh010_002_f000.avatar	白晴晖	asset\avatar	0
fjzj000_000_l21_m60.avatar	白杨柳依	asset\avatar	0
collect_thunder_3_fx.avatar	白曜玉	asset\avatar	0
gear_281.avatar	白羽	asset\avatar	0
pig_000_l1.avatar	白猪	asset\avatar	0
item_492_bai.avatar	白子	asset\avatar	0
item_492_bai_charlight.avatar	白子2	asset\avatar	0
fzf602_morphface000.avatar	百草谷女弟子	asset\avatar	2
plant_217.avatar	百蝶香	asset\avatar	0
h01_island_tailor.avatar	百工房	asset\avatar	0
furniture_curio_271.avatar	百花仙子的手镯	asset\avatar	0
gear_234.avatar	百罹桩	asset\avatar	0
msm601_000_f000_h001.avatar	百里乐	asset\avatar	5
mjzj000_001_bmsz.avatar	百目使者	asset\avatar	0
d42_building_013_crystal.avatar	百释冰	asset\avatar	0
stone_688i_baishibing.avatar	百释冰2	asset\avatar	0
fjh006_001_morphface000.avatar	百姓1	asset\avatar	0
mjh302_002_f000.avatar	百姓2	asset\avatar	0
mjh504_101_f000_h003.avatar	百姓3	asset\avatar	0
nil_gear_231.avatar	半截发簪	asset\avatar	0
furniture_curio_224b.avatar	半枚玉佩	asset\avatar	0
gear_241.avatar	包袱	asset\avatar	0
fire1_000_l2.avatar	包子	asset\avatar	0
furniture_box_025_l1.avatar	宝贝	asset\avatar	0
drop_jewel_000_l1.avatar	宝石1	asset\avatar	0
drop_jewel_001_l1.avatar	宝石2	asset\avatar	0
drop_jewel_002_l1.avatar	宝石3	asset\avatar	0
gear_250a_l1.avatar	宝物	asset\avatar	0
item_577_plusgear.avatar	宝物筐	asset\avatar	0
furniture_box_025_l1_light_red.avatar	宝箱1	asset\avatar	0
small_platform_08_l1.avatar	宝箱2	asset\avatar	0
nil_drop_pill_l1.avatar	宝珠盒1	asset\avatar	0
nil_drop_pill_l2.avatar	宝珠盒2	asset\avatar	0
