literal	text	channels	visible	ignore_setting	voice_male	voice_female	desc
*新建分类建议@开头，不以ERR_开头的行将会被忽略	中文描述[L]	频道（默认为屏幕中间红字，其他可查看enum_base中聊天系统系统用频道枚举）	是否显示	是否忽略偏好设置的战斗语音开关控制（0-不忽略，1-忽略）	男音	女音	备注[N]
			0	1			
@@@@@@@ERR_GLOBAL@@@@@@@							
ERR_GLOBAL_UNKNOWN	未知错误						
ERR_GLOBAL_NULL	无声错误						
ERR_GLOBAL_NOT_RUNING	系统尚未开放						
@@@@@@@ERR_COMBAT_ATK_FAIL@@@@@@@							
ERR_COMBAT_ATK_FAIL_SKILL_UNKNOWN	还不能施展这招						
ERR_COMBAT_ATK_FAIL_ATTACKING	正在攻击						
ERR_COMBAT_ATK_FAIL_ATTACKER_DEAD	你已经重伤				event:/voice/system/hint/tg/male/071	event:/voice/system/hint/tg/female/071	
ERR_COMBAT_ATK_FAIL_ATTACKER_ALIVE	只能在死亡时释放						
ERR_COMBAT_ATK_FAIL_ATTACKER_NO_BUFF	不在必要的状态						
ERR_COMBAT_ATK_FAIL_ATTACKER_NO_ITEM	物品不够				event:/voice/system/hint/tg/male/087	event:/voice/system/hint/tg/female/087	
ERR_COMBAT_ATK_FAIL_ATTACKER_JUMPING	正在跳跃						
ERR_COMBAT_ATK_FAIL_ATTACKER_NOT_JUMPING	不在空中						
ERR_COMBAT_ATK_FAIL_ATTACKER_SKILL_CD	正在调息						
ERR_COMBAT_ATK_FAIL_NEED_MORE_LAYER	充能层数不足						
ERR_COMBAT_ATK_FAIL_ATTACKER_HP_NOT_ENOUGH	元精不足				event:/voice/system/hint/tg/male/007	event:/voice/system/hint/tg/female/007	
ERR_COMBAT_ATK_FAIL_ATTACKER_QP_NOT_ENOUGH	元气不足						
ERR_COMBAT_ATK_FAIL_ATTACKER_MP_NOT_ENOUGH	目前无法施展此招式						
ERR_COMBAT_ATK_FAIL_ATTACKER_SP_NOT_ENOUGH	目前无法施展此招式						
ERR_COMBAT_ATK_FAIL_ATTACKER_WP_NOT_ENOUGH	目前无法施展此招式						
ERR_COMBAT_ATK_FAIL_ATTACKER_LBP_NOT_ENOUGH	还不能施展剑心共鸣技				event:/voice/system/hint/tg/male/006	event:/voice/system/hint/tg/female/006	
ERR_COMBAT_ATK_FAIL_ATTACKER_LIMIT_STATE	被控制时无法施放				event:/voice/system/hint/tg/male/005	event:/voice/system/hint/tg/female/005	
ERR_COMBAT_ATK_FAIL_TARGET_OUT_CAST_KEN	需要选中的目标处于视野范围内						
ERR_COMBAT_ATK_FAIL_TARGET_OUT_CAST_RANGE	需要靠近目标						
ERR_COMBAT_ATK_FAIL_TARGET_NOT_FACE	需要面对目标						
