ID	Desc	Min	Max	isPlayer	MinText	MaxText	DefaultValue	PartType	Title
*	[L]	> -1.0f			[L]	[L]	默认值	0-默认, 1-狐狸	标题[L]
		-0.5	0.5	1			0	0	
male_1	N整体大小	-0.03	0.084	0					
male_2	N上半身大小	-0.084	0.084	0					
male_3	N头大小	-0.01	0.1	0					
male_4	N脖子长短	-0.015	0.144	0					
male_5	N脖子粗细	-0.15	0.12	0					
male_6	N肩膀高低	-0.2	0.338	0					
male_7	N腰部长短	0	0.25	0					
male_8	N腰部粗细	-0.15	0.1	0					
male_9	N手掌大小	-0.15	0.2	0					
male_10	N手指长度			0					
male_11	N手臂长短	-0.08	0.12	0					
male_12	N手臂粗细	-0.18	0.14	0					
male_13	N大腿粗细	-0.137	0.02	0					
male_14	N大腿长短	-0.1	0.05	0					
male_15	N小腿粗细	-0.1	0.13	0					
male_16	N小腿长短	-0.1	0.05	0					
male_17	N脚大小	-0.2	0.133	0					
male_18	N脚尖长度	-0.2	0.2	0					
male_19	N肩膀宽窄	0	0.1	0					
male_20	N胸部宽度	-0.035	0.146	0					
male_21	N胸部厚度	-0.142	0.2	0					
male_22	N胸部宽度	-0.075	0.146	0					
male_23	N小臂粗细	-0.137	0.1	0					
male_24	N上臂粗细	-0.1	0.13	0					
male_25	N腹部突起	0	0.2	0					
male_26	N下摆长度	0	0.2	0					
female_1	N整体大小	-0.08	0.084	0					
female_2	N上半身大小	-0.084	0.084	0					
female_3	N头大小	-0.03	0.1	0					
female_4	N脖子长短	-0.015	0.16	0					
female_5	N脖子粗细	-0.25	0.12	0					
female_6	N肩膀高低	-0.25	0.24	0					
female_7	N腰部长短	0	0.085	0					
female_8	N腰部粗细	-0.2	0.1	0					
female_9	N手掌大小	-0.15	0.15	0					
female_10	N手指长度			0					
female_11	N手臂长短	-0.08	0.168	0					
female_12	N手臂粗细	-0.142	0.292	0					
female_13	N大腿粗细	-0.192	0.018	0					
female_14	N大腿长短	-0.2	0.05	0					
