ID	BoneName	Axis	Weight	IsReferencePoint
*	*			是否为基准点
			1	0
male_1	Root	1,1,1		
male_2	Bip01 Spine1	1,1,1		
male_3	Bip01 Head	1,1,1		
male_4	Bip01 Neck	1,0,0		
male_4	Bip01 Head	1,1,1	0,0,0	
male_4	Bip01 L Clavicle	1,1,1	0,0,0	
male_4	Bip01 R Clavicle	1,1,1	0,0,0	
male_5	Bip01 Neck	0,1,1		
male_5	Bip01 Head	1,1,1	0,0,0	
male_5	Bip01 L Clavicle	1,1,1	0,0,0	
male_5	Bip01 R Clavicle	1,1,1	0,0,0	
male_6	Bip01 L Clavicle	0,0,1		
male_6	Bip01 R Clavicle	0,0,1		
male_6	Bip01 L UpperArm	1,1,1	0,0,0	
male_6	Bip01 R UpperArm	1,1,1	0,0,0	
male_7	Bip01 Spine1	1,0,0		
male_7	Bip01 Spine2	1,1,1	0,0,0	
male_8	Bip01 Spine1	0,1,1		
male_8	Bip01 Spine2	1,1,1	0,0,0	
male_9	Bip01 L Hand	0,1,1		
male_9	Bip01 R Hand	0,1,1		
male_10	Bip01 L Finger0	1,0,0		
male_10	Bip01 R Finger0	1,0,0		
male_10	Bip01 L Finger1	1,0,0		
male_10	Bip01 R Finger1	1,0,0		
male_10	Bip01 L Finger2	1,0,0		
male_10	Bip01 R Finger2	1,0,0		
male_10	Bip01 L Finger3	1,0,0		
male_10	Bip01 R Finger3	1,0,0		
male_10	Bip01 L Finger4	1,0,0		
male_10	Bip01 R Finger4	1,0,0		
male_11	Bip01 L UpperArm	1,0,0		
male_11	Bip01 R UpperArm	1,0,0		
male_12	Bip01 L UpperArm	0,1,1		
male_12	Bip01 R UpperArm	0,1,1		
male_13	Bip01 L Thigh	0,1,1		
male_13	Bip01 L Calf	0,1,1	0,0,0	
male_13	Bip01 R Thigh	0,1,1		
male_13	Bip01 R Calf	0,1,1	0,0,0	
male_14	Bip01 L Thigh	1,0,0		
male_14	Bip01 L Calf	1,0,0	0,0,0	
male_14	Bip01 R Thigh	1,0,0		
male_14	Bip01 R Calf	1,0,0	0,0,0	
male_15	Bip01 L Calf	0,1,1		
male_15	Bip01 L Foot	0,1,1	0,0,0	
male_15	Bip01 R Calf	0,1,1		
male_15	Bip01 R Foot	0,1,1	0,0,0	
male_16	Bip01 L Calf	1,0,0		
male_16	Bip01 L Foot	1,0,0	0,0,0	
male_16	Bip01 R Calf	1,0,0		
male_16	Bip01 R Foot	1,0,0	0,0,0	
male_17	Bip01 L Foot	1,1,1		
male_17	Bip01 R Foot	1,1,1		
male_18	Bip01 L Toe0	1,0,0		1
male_18	Bip01 R Toe0	1,0,0		1
male_19	Bip01 L Clavicle	1,0,0		
male_19	Bip01 L UpperArm	1,0,0	0,0,0	
male_19	Bip01 R Clavicle	1,0,0		
male_19	Bip01 R UpperArm	1,0,0	0,0,0	
male_20	Bip01 Spine3	1,0,1		
male_20	Bip01 Neck	1,1,1	0,0,0	
male_20	Bip01 L Clavicle	1,0,0		
male_20	Bip01 L UpperArm	1,1,1	0,0,0	
male_20	Bip01 R Clavicle	1,0,0		
male_20	Bip01 R UpperArm	1,1,1	0,0,0	
male_21	Bip01 Spine3	0,1,0		
male_21	Bip01 Neck	1,1,1	0,0,0	
male_22	Bip01 Spine3	0,0,1		
male_22	Bip01 Neck	1,1,1	0,0,0	
male_22	Bip01 L Clavicle	1,0,0		
male_22	Bip01 L UpperArm	1,1,1	0,0,0	
male_22	Bip01 R Clavicle	1,0,0		
male_22	Bip01 R UpperArm	1,1,1	0,0,0	
male_23	Bip01 L ForeTwist	0,1,1		
male_23	Bip01 R ForeTwist	0,1,1		
male_23	Bip01 L ForeTwist1	0,1,1		
male_23	Bip01 R ForeTwist1	0,1,1		
male_24	left_uparm_Bone01	0,1,1		
male_24	right_uparm_Bone01	0,1,1		
male_24	left_uparm_Bone03	0,1,1		
male_24	right_uparm_Bone03	0,1,1		
male_25	Bip01 Spine1	0,1,0		
male_25	Bip01 Spine2	1,1,1	0,0,0	
male_26	Bone22	1,0,0		
male_26	Bone28	1,0,0		
male_26	Bone34	1,0,0		
male_26	Bone40	1,0,0		
male_26	Bone46	1,0,0		
male_26	Bone52	1,0,0		
male_26	Bone58	1,0,0		
male_26	Bone64	1,0,0		
female_1	Root	1,1,1		
female_2	Bip01 Spine1	1,1,1		
female_3	Bip01 Head	1,1,1		
female_4	Bip01 Neck	1,0,0		
female_4	Bip01 Head	1,1,1	0,0,0	
female_4	Bip01 L Clavicle	1,1,1	0,0,0	
female_4	Bip01 R Clavicle	1,1,1	0,0,0	
female_5	Bip01 Neck	0,1,1		
female_5	Bip01 Head	1,1,1	0,0,0	
female_5	Bip01 L Clavicle	1,1,1	0,0,0	
female_5	Bip01 R Clavicle	1,1,1	0,0,0	
female_6	Bip01 L Clavicle	0,0,1		
female_6	Bip01 R Clavicle	0,0,1		
female_6	Bip01 L UpperArm	1,1,1	0,0,0	
female_6	Bip01 R UpperArm	1,1,1	0,0,0	
female_7	Bip01 Spine1	1,0,0		
female_7	Bip01 Spine2	1,1,1	0,0,0	
