ID	model_path	model_texture	model_parts	model_priority
*	模型路径（对应于没有.avatar的）	模型换色（对应于没有.avatar的）	模型覆盖部分，格式A#B（weapon:1;top:2;head:3;face:4;chest:5;hand:6;foot:7;left_shoulder:8;right_shoulder:9;back:10;left_waist:11;right_waist:12;back_waist:13;cape:14;footprint15）	模型优先级(数字越小优先级越高)
				10
cloak_test			10	
female_djl001_arm_000d	characters/female/models/female_djl001_arm.model	characters/female/textures/female_djl001_arm_000d.dds	6	
female_djl001_body_000d	characters/female/models/female_djl001_body.model	characters/female/textures/female_djl001_body_000d.dds	5	
female_djl001_head_000d	characters/female/models/female_djl001_head.model	characters/female/textures/female_djl001_head_000d.dds	3	
female_djl001_leg_000d	characters/female/models/female_djl001_leg.model	characters/female/textures/female_djl001_leg_000d.dds	7	
female_face				
female_baseface001				
female_face_default				
female_face001				
female_face002				
female_face003				
female_face004				
female_face005				
female_face006				
female_face-43302				
female_ghost				
female_gourdhead	models/pendant/gzw/fb000.model		2	10
female_gourdwaist	models/pendant/gzw/fb000.model		11	10
female_gzw051	models/pendant/gzw/gzw051.model		2	9
female_hair	characters/female/models/female_head001.model			
female_hair_default	characters/female/models/female_head001.model			
female_head000	characters/female/models/female_head001.model			
female_head001	characters/female/models/female_head001.model			
female_head002	characters/female/models/female_head002.model			
female_head003	characters/female/models/female_head003.model			
female_head004	characters/female/models/female_head004.model			
female_head005	characters/female/models/female_head005.model			
female_head006	characters/female/models/female_head006.model			
female_head007	characters/female/models/female_head007.model			
female_head008	characters/female/models/female_head008.model			
female_head009	characters/female/models/female_head009.model			
female_head010	characters/female/models/female_head010.model			
female_head030	characters/female/models/female_head030.model			
female_head031	characters/female/models/female_head031.model			
female_head034	characters/female/models/female_head034.model			
female_head039	characters/female/models/female_head039.model			
female_head050	characters/female/models/female_head050.model			
female_jh000_arm	characters/female/models/female_jh000_arm.model			
female_jh000_arm_000d	characters/female/models/female_jh000_arm.model	characters/female/textures/female_jh000_arm_000d.dds	6	
female_jh000_arm_001d	characters/female/models/female_jh000_arm.model	characters/female/textures/female_jh000_arm_001d.dds	6	
female_jh000_arm_002d	characters/female/models/female_jh000_arm.model	characters/female/textures/female_jh000_arm_002d.dds	6	
female_jh000_arm_200d	characters/female/models/female_jh000_arm.model	characters/female/textures/female_jh000_arm_200d.dds	6	
female_jh000_arm_201d	characters/female/models/female_jh000_arm.model	characters/female/textures/female_jh000_arm_201d.dds	6	
