ID	model_path	model_texture	skel_name	scale	cloth_level	prop_base_action_normal	prop_base_action_combat	prop_base_action_sp_opp	prop_base_action_debut	prop_base_action_combat_idle	bx	by	bz	billboard_height_offset	interact_height_offset	withdrawable	paste_mode	meat_type	blood_color	angry_color	prop_npc_ms_by_scale	ride_type	dyn_collide_radius	prop_npc_scripts_action
*	模型路径（对应于没有.avatar的）	模型换色（对应于没有.avatar的）	体型	缩放	是否开布料（0、1、2、3、4、5），默认0不开						包围盒长	包围盒宽	包围盒高	头顶名字高度修正值	交互F高度修正值	是否会后退	贴地模式	肉质[生肉#元素鬼魂#坚硬石质#布甲软甲#金属铠甲#金属盾#木头质地#沙土石质][N]	血色golden#green#purple#red#blue	生气色golden#green#purple#red#blue	移动动画播放速率是否不变	骑乘类型	动态碰撞半径	NPC死亡表演（调用客户端动作表现脚本，如果npc_list.tab中该列为ragdoll.lua, 则会用此表中的该列覆盖）
				1	0	502	102	idle_stand_base01_loop	idle_stand_base01_loop	idle_stand_base01_loop	0	0	0			0	0	生肉	red	red	0		0	
active_antique_bell											100	100	100											
active_antique_blade											100	100	100											
active_antique_bonestaff											100	100	100											
active_antique_bottle											100	100	100											
active_antique_burner											100	100	100											
active_antique_cup_gold											100	100	100											
active_antique_cup_silver											100	100	100											
active_antique_lotus											100	100	100											
active_antique_paint											100	100	100											
active_antique_plate_gold											100	100	100											
active_antique_plate_silver											100	100	100											
active_antique_porcelain											100	100	100											
active_antique_pot_gold											100	100	100											
active_antique_pot_silver											100	100	100											
active_antique_potlid_gold											100	100	100											
active_antique_potlid_silver											100	100	100											
active_antique_sword											100	100	100											
active_ball_1			nil					idle_a	idle_a	idle_a														
active_ball_2			nil					idle_a	idle_a	idle_a														
active_ball_3			nil					idle_a	idle_a	idle_a														
active_ball_4			nil					idle_a	idle_a	idle_a														
active_ball_5			nil					idle_a	idle_a	idle_a														
active_ball_6			nil					idle_a	idle_a	idle_a														
active_balloons_ball																								
active_balloons_boomball											50	50	100											
active_balloons_fireball																								
active_balloons_goldball																								
active_balloons_meeters																								
active_balloons_pinkball																								
active_balloons_timedownball																								
active_balloons_timeupball																								
active_biyouji_chunjie																								
active_boat_001	models/vehice/vehicle_061c.model		boat								700	170	100											
active_bombman_icehouse_blue																								
active_bombman_icehouse_red																								
active_book																								
active_cannon_bomb											150	150	150											
active_cannon_roll											150	150	150											
active_cookplus_boilpot																								
active_cookplus_box_cucumber											50	50	50											
active_cookplus_box_dough											50	50	50											
active_cookplus_box_fish											50	50	50											
active_cookplus_box_meat											50	50	50											
active_cookplus_box_mutton											50	50	50											
active_cookplus_box_sesame											50	50	50											
active_cookplus_bunch																								
active_cookplus_burned																								
active_cookplus_cookpot																								
active_cookplus_cow											58	58	58											
active_cookplus_cucumber																								
active_cookplus_cucumber_cut																								
active_cookplus_cuttingboard																								
active_cookplus_dish																								
active_cookplus_dishes																								
active_cookplus_dough																								
active_cookplus_dough_cut																								
active_cookplus_filling																								
active_cookplus_finished_cucumber																								
active_cookplus_finished_cucumberandmeat																								
active_cookplus_finished_fishandmilk																								
active_cookplus_fish																								
active_cookplus_fish_cut																								
active_cookplus_gridiron											150	75	75											
active_cookplus_meat																								
active_cookplus_meat_cut																								
active_cookplus_milk_cold																								
active_cookplus_milk_hot																								
active_cookplus_mutton																								
active_cookplus_mutton_bunch																								
active_cookplus_mutton_bunch_oil																								
active_cookplus_mutton_cooked																								
active_cookplus_mutton_cut																								
active_cookplus_mutton_dish																								
active_cookplus_mutton_empty											75	75	35											
active_cookplus_oilbrush																								
active_cookplus_oven											75	75	75											
active_cookplus_pot																								
active_cookplus_sesame																								
active_cookplus_sesame_raw																								
active_cookplus_soupball																								
active_cookplus_soupball_raw																								
active_cookplus_trashbin											25	25	25											
active_dragon_boat											700	90	150											
active_dragon_boat_demo											700	90	150											
active_ejection_avatar											30	30	30											
active_ejection_node											150	150	150											
active_farm																								
active_firedance_pos			nil																					
active_firefly_l1																								
active_fjh022_shangren			female																					
active_furniture224_blue																								
active_halloween_bucket											100	100	150											
active_halloween_candle											40	40	40											
active_halloween_cup											30	30	30											
active_halloween_devil											50	80	50											
active_halloween_donut											30	30	20											
active_halloween_guide																								
active_halloween_pumpkin											100	100	100											
active_halloween_pumpkin01																								
active_halloween_pumpkin01_light																								
active_halloween_pumpkin02																								
active_halloween_pumpkin02_light																								
active_halloween_pumpkin03																								
active_halloween_pumpkin03_light																								
active_halloween_pumpkin04																								
active_halloween_pumpkin04_light																								
active_halloween_pumpkinsweet											50	50	50											
active_huoguo_xushisih																								
active_jhdstone																								
active_midautumn_changyu			male																					
active_midautumn_guayelian			male																					
active_midautumn_haocang			male																					
active_midautumn_juntunguokui																								
active_midautumn_table											200	200	200											
active_midautumn_tableandchair																								
active_mjh002_shangren			male																					
active_mud																								
active_newyear_hotpot_empty																								
active_newyear_hotpot_full																								
active_newyear_table																								
active_newyear_tableset																								
active_plant_Cabbage													300											
active_pumpkiner			adorable_snowman			261					100	100	100											
active_rowing_checkpoint																								
active_rowing_speedup																								
active_sand_blackfemale			female																					
active_sand_blackloli			loli																					
active_sand_blackmale			male																					
active_sand_bluefemale			female																					
active_sand_blueloli			loli																					
active_sand_bluemale			male																					
active_sand_fire											400	400	400											
active_sand_firemanger			female																					
active_sand_gifgod																								
active_sand_yellowfemale			female																					
active_sand_yellowloli			loli																					
active_sand_yellowmale			male																					
active_searchbug_crevice											200	200												
active_searchbug_trap																								
active_shangdui_xiaoyinsao																								
active_snowball																								
active_snowball_cannon																								
active_sw_patrol_fish_l1											100000	100000	100000											
active_toy_kite																								
active_wall_yangjixuepo																								
active_YLXZSnobank_Strongholds_red																								
active_YLXZSnobank_Strongholds_yellow																								
activite_newyear_snowman																								
actress1_stone											200	200	500											
actress1_stone2	models\m01\m01_stone_reef_06.model																							
actress1_stone3																								
adorable_dancha			adorable_snowman			261																		scripts/actions/default.lua
adorable_joyfunman_000																								
adorable_joyfunman_001																								
adorable_joyfunman_002																								
adorable_logoman																								
adorable_newlogoman_000_daling																								
adorable_newlogoman_000_jiaohua																								
adorable_newlogoman_000_juju																								
adorable_newlogoman_000_l1																								
adorable_newlogoman_000_l2																								
adorable_newlogoman_000_ox																								
adorable_newlogoman_000_shadow																								
adorable_newlogoman_000_ybsj																								
adorable_newlogoman_001_l2																								
adorable_newlogoman_002_l1			b008_silver																					
adorable_newlogoman_003_l1																								
adorable_newlogoman_004_l1																								
adorable_newlogoman_005_l1																								
adorable_newlogoman_006_l1																								
adorable_newlogoman_007_l1																								
adorable_newlogoman_007_l2																								
adorable_newlogoman_007_l3			b008_silver																					
adorable_newlogoman_008_l1																								
adorable_newlogoman_100_l1																								
adorable_newlogoman_100_l2																								
adorable_newlogoman_200_l1																								
adorable_rookie			adorable_snowman			261																		scripts/actions/default.lua
adorable_rookie_ghost_l1																								
adorable_rookie_wing																								
adorable_snowman			adorable_snowman			261																		scripts/actions/default.lua
adorable_snowman_blue			adorable_snowman			261																		scripts/actions/default.lua
adorable_snowman_child			adorable_snowman			261																		scripts/actions/default.lua
adorable_snowman_child_blue			adorable_snowman			261																		scripts/actions/default.lua
adorable_snowman_child_green			adorable_snowman			261																		scripts/actions/default.lua
adorable_snowman_child_pink			adorable_snowman			261																		scripts/actions/default.lua
adorable_snowman_child_purple			adorable_snowman			261																		scripts/actions/default.lua
adorable_snowman_child_yellow			adorable_snowman			261																		scripts/actions/default.lua
adorable_snowman_green			adorable_snowman			261																		scripts/actions/default.lua
adorable_snowman_pink			adorable_snowman			261																		scripts/actions/default.lua
adorable_snowman_purple			adorable_snowman			261																		scripts/actions/default.lua
adorable_snowman_yellow			adorable_snowman			261																		scripts/actions/default.lua
adorable_tortoise			adorable_snowman			261																		scripts/actions/default.lua
adorable_tortoise_hide																								
adorable_tortoise_treasure			adorable_snowman			261																		
adorable_zombie			adorable_snowman			261																		scripts/actions/default.lua
adorable_zombie_with_littlecap			adorable_snowman			261																		scripts/actions/default.lua
adorable_zombie_withcap			adorable_snowman			261																		scripts/actions/default.lua
am01yl_default_boss			am01yl															金属铠甲	golden					
am02lx_default_01_lanxiang			am02lx															金属铠甲	golden					
animal_bat_000_11																								
animal_bat_001_11																								
animal_crow_000_11																								
