ID	model_path	model_texture	local_scale	weapon_type	model_parts	model_priority
*	模型路径（对应于没有.avatar的）	模型换色（对应于没有.avatar的）	武器自定义缩放(实际缩放将乘上weapon_mount.tab里指定的缩放）	类型（武器填武器类型，怪物填体型）	模型覆盖部分，格式A#B（weapon:1;top:2;head:3;face:4;chest:5;hand:6;foot:7;left_shoulder:8;right_shoulder:9;back:10;left_waist:11;right_waist:12;back_waist:13）	模型优先级(数字越小优先级越高)
			1			10
bow_001a_01						
bow_001c	models/pendant/weapon/bow_001c.model					
bz300a_000	models/pendant/weapon/bz300a.model	models/pendant/weapon/Textures/bz300a_002d.dds		bz		
bz300a_000_ds	models/pendant/weapon/bz300a.model	models/pendant/weapon/Textures/bz300a_002d.dds		ds		
bz301a_001	models/pendant/weapon/bz301a.model		1	bz		
bz301a_001_ds	models/pendant/weapon/bz301a.model		1	ds		
bz334a_000	models/pendant/weapon/bz334a.model	models/pendant/weapon/Textures/bz334a_000d.dds		cz		
cb300a_000	models/pendant/weapon/cb_300a.model			cb		
cb300a_000_boss			1.2	cb		
cb300a_000_ghost				cb		
cb300a_000_sd	models/pendant/weapon/cb300a.model		2	sd		
cb300a_001				cb		
cb300a_002				cb		
cb300a_003				cb		
cb301a_000	models/pendant/weapon/cb301a.model	models/pendant/weapon/Textures/cb301a_000d.dds		cb		
cb301a_000_mogu				cb		
cb302b_000	models/pendant/weapon/cb302b.model			cb		
cb304a_000	models/pendant/weapon/cb304a.model	models/pendant/weapon/Textures/cb304a_000d.dds		cb		
cb308a	models/pendant/weapon/cb308a.model			cb		
cb308a_000	models/pendant/weapon/cb308a.model	models/pendant/weapon/Textures/cb308a_000d.dds		cb		
cb308a_000_ghost				cb		
cb308a_000_playfire				cb		
cb311a_000	models/pendant/weapon/cb_311a.model			cb		
cb320a_000	models/pendant/weapon/cb320a.model	models/pendant/weapon/Textures/cb320a_000d.dds		cb		
cb320a_000_ghost				cb		
cb320a_000_meshoutline				cb		
cb331a_000	models/pendant/weapon/cb331a.model			cb		
cb332a_000	models/pendant/weapon/cb332a.model			cb		
cb333a_000	models/pendant/weapon/cb333a.model			cb		
cb333a_001				cb		
cb336a_000	models/pendant/weapon/cb336a.model	models/pendant/weapon/Textures/cb336a_000d.dds		cb		
cb336a_000_ghost				cb		
cb336a_001	models/pendant/weapon/cb336a.model	models/pendant/weapon/Textures/cb336a_001d.dds		cb		
cb336a_002	models/pendant/weapon/cb336a.model	models/pendant/weapon/Textures/cb336a_002d.dds		cb		
cb336a_003	models/pendant/weapon/cb336a.model	models/pendant/weapon/Textures/cb336a_003d.dds		cb		
cb336a_000_boss				cb		
cb336a_001_boss				cb		
cb336a_002_boss				cb		
cb336a_003_boss				cb		
cb337a_000	models/pendant/weapon/cb337a.model	models/pendant/weapon/Textures/cb337a_000d.dds		cb		
cb339a_000	models/pendant/weapon/cb339a.model	models/pendant/weapon/Textures/cb339a_000d.dds		cb		
cb339b_000	models/pendant/weapon/cb339b.model	models/pendant/weapon/Textures/cb339b_000d.dds		cb		
cb339a_000_fz	models/pendant/weapon/cb339a.model	models/pendant/weapon/Textures/cb339a_000d.dds		fz		
cb339b_000_fz	models/pendant/weapon/cb339b.model	models/pendant/weapon/Textures/cb339b_000d.dds		fz		
cd000a_000	models/pendant/weapon/cd000a_a.model			ly		
cd000a_000_1	models/pendant/weapon/cd000a_b.model			ly		
cd000a_000_2	models/pendant/weapon/cd000a_c.model			ly		
cd001_a	models/pendant/weapon/cd001_a.model			ly		
cd001_a_cd01	models/pendant/weapon/cd001_a.model			cd01		
cd001_b	models/pendant/weapon/cd001_b.model	models/pendant/weapon/Textures/ss009a_002d.dds		ly		
cd001a_000				ly		
cd001a_000_1				ly		
cd001a_000_2				ly		
cd001a_a	models/pendant/weapon/cd001a_a.model			ly		
cd001a_b	models/pendant/weapon/cd001a_b.model			ly		
cd001b_000	models/pendant/weapon/cd001a_a.model			ly		
cd001b_000_1				ly		
cd001b_000_2	models/pendant/weapon/cd001a_c.model			ly		
cd002a_000				ly		
cd002a_000_1				ly		
cd002a_000_2				ly		
cd004a_000				ly		
cd004a_000_1				ly		
cd020a_000	models/pendant/weapon/cd020a_a.model			ly		
cd020a_000_1	models/pendant/weapon/cd020a_b.model			ly		
cd020a_000_2	models/pendant/weapon/cd020a_c.model			ly		
cd020a_001	models/pendant/weapon/cd020a_a.model	models/pendant/weapon/Textures/cd020a_a_001d.dds		ly		
cd020a_001_1	models/pendant/weapon/cd020a_b.model	models/pendant/weapon/Textures/cd020a_b_001d.dds		ly		
cd020a_001_2	models/pendant/weapon/cd020a_c.model	models/pendant/weapon/Textures/cd020a_c_001d.dds		ly		
cd020a_002	models/pendant/weapon/cd020a_a.model	models/pendant/weapon/Textures/cd020a_a_002d.dds		ly		
cd020a_002_1	models/pendant/weapon/cd020a_b.model	models/pendant/weapon/Textures/cd020a_b_002d.dds		ly		
cd020a_002_2	models/pendant/weapon/cd020a_c.model	models/pendant/weapon/Textures/cd020a_c_002d.dds		ly		
cd020a_002_cd	models/pendant/weapon/cd020a_a.model	models/pendant/weapon/Textures/cd020a_a_002d.dds		ss		
cd020a_003	models/pendant/weapon/cd020a_a.model	models/pendant/weapon/Textures/cd020a_a_003d.dds		ly		
cd020a_003_1	models/pendant/weapon/cd020a_b.model	models/pendant/weapon/Textures/cd020a_b_003d.dds		ly		
cd020a_003_2	models/pendant/weapon/cd020a_c.model	models/pendant/weapon/Textures/cd020a_c_003d.dds		ly		
cd303a_000_a	models/pendant/weapon/cd303a.model	models/pendant/weapon/Textures/cd303a_000d.dds		cd		
cd020a_004_b	models/pendant/weapon/cd020a_b.model	models/pendant/weapon/Textures/cd020a_b_004d.dds		cd		
cd303a_000_cd01_a	models/pendant/weapon/cd303a.model	models/pendant/weapon/Textures/cd303a_000d.dds		cd01		
cd020a_004_cd01_b	models/pendant/weapon/cd020a_b.model	models/pendant/weapon/Textures/cd020a_b_004d.dds		cd01		
cd303a_000_ghost_a				cd		
cd020a_004_ghost_b				cd		
cd303a_000_cd01_ghost_a				cd01		
cd020a_004_cd01_ghost_b				cd01		
cd021a_000				ly		
cd021a_000_1				ly		
cd021a_000_2				ly		
cd021a_001				ly		
cd021a_001_1				ly		
cd021a_001_2				ly		
cd021a_002				ly		
cd021a_002_1				ly		
cd021a_002_2				ly		
cd021a_003				ly		
cd021a_003_1				ly		
cd021a_003_2				ly		
cd023a_000	models/pendant/weapon/cd023a_a.model			ly		
cd023a_000_1	models/pendant/weapon/cd023a_b.model			ly		
cd023a_000_2	models/pendant/weapon/cd023a_c.model			ly		
cd023a_001	models/pendant/weapon/cd023a_a.model	models/pendant/weapon/Textures/cd023a_a_001d.dds		ly		
cd023a_001_1	models/pendant/weapon/cd023a_b.model	models/pendant/weapon/Textures/cd023a_b_001d.dds		ly		
cd023a_001_2	models/pendant/weapon/cd023a_c.model	models/pendant/weapon/Textures/cd023a_c_001d.dds		ly		
cd023a_002	models/pendant/weapon/cd023a_a.model	models/pendant/weapon/Textures/cd023a_a_002d.dds		ly		
cd023a_002_1	models/pendant/weapon/cd023a_b.model	models/pendant/weapon/Textures/cd023a_b_002d.dds		ly		
cd023a_002_2	models/pendant/weapon/cd023a_c.model	models/pendant/weapon/Textures/cd023a_c_002d.dds		ly		
cd023a_003	models/pendant/weapon/cd023a_a.model	models/pendant/weapon/Textures/cd023a_a_003d.dds		ly		
cd023a_003_1	models/pendant/weapon/cd023a_b.model	models/pendant/weapon/Textures/cd023a_b_003d.dds		ly		
cd023a_003_2	models/pendant/weapon/cd023a_c.model	models/pendant/weapon/Textures/cd023a_c_003d.dds		ly		
cd024a_000	models/pendant/weapon/cd024a_a.model			ly		
cd024a_000_1	models/pendant/weapon/cd024a_b.model			ly		
cd024a_000_2	models/pendant/weapon/cd024a_c.model			ly		
cd024a_001	models/pendant/weapon/cd024a_a.model	models/pendant/weapon/Textures/cd024a_a_001d.dds		ly		
cd024a_001_1	models/pendant/weapon/cd024a_b.model	models/pendant/weapon/Textures/cd024a_b_001d.dds		ly		
cd024a_001_2	models/pendant/weapon/cd024a_c.model	models/pendant/weapon/Textures/cd024a_c_001d.dds		ly		
cd024a_002	models/pendant/weapon/cd024a_a.model	models/pendant/weapon/Textures/cd024a_a_002d.dds		ly		
cd024a_002_1	models/pendant/weapon/cd024a_b.model	models/pendant/weapon/Textures/cd024a_b_002d.dds		ly		
cd024a_002_2	models/pendant/weapon/cd024a_c.model	models/pendant/weapon/Textures/cd024a_c_002d.dds		ly		
cd024a_003	models/pendant/weapon/cd024a_a.model	models/pendant/weapon/Textures/cd024a_a_003d.dds		ly		
cd024a_003_1	models/pendant/weapon/cd024a_b.model	models/pendant/weapon/Textures/cd024a_b_003d.dds		ly		
cd024a_003_2	models/pendant/weapon/cd024a_c.model	models/pendant/weapon/Textures/cd024a_c_003d.dds		ly		
cd025a_000				ly		
cd025a_000_1				ly		
cd025a_000_2				ly		
cd025a_001				ly		
cd025a_001_1				ly		
cd025a_001_2				ly		
cd025a_002				ly		
cd025a_002_1				ly		
cd025a_002_2				ly		
cd025a_003				ly		
cd025a_003_1				ly		
cd025a_003_2				ly		
cd025a_004				ly		
cd025a_004_1				ly		
cd025a_004_2				ly		
cd025a_005				ly		
cd025a_005_1				ly		
cd025a_005_2				ly		
cd030a_000				ly		
cd030a_000_1				ly		
cd030a_000_2				ly		
cd030a_001				ly		
cd030a_001_1				ly		
cd030a_001_2				ly		
cd031a_000				ly		
cd031a_000_1				ly		
cd031a_000_2				ly		
cd032a_000				ly		
cd032a_000_1				ly		
cd032a_000_2				ly		
cd032a_001				ly		
cd032a_001_1				ly		
cd032a_001_2				ly		
cd032a_002				ly		
cd032a_002_1				ly		
cd032a_002_2				ly		
cd032a_003				ly		
cd032a_003_1				ly		
cd032a_003_2				ly		
cd032a_004				ly		
cd032a_004_1				ly		
cd032a_004_2				ly		
cd036a_000				ly		
cd036a_000_1				ly		
cd036a_000_2				ly		
cd036a_001				ly		
cd036a_001_1				ly		
cd036a_001_2				ly		
cd037a_000				ly		
cd037a_000_1				ly		
cd037a_000_2				ly		
cd037a_001				ly		
cd037a_001_1				ly		
cd037a_001_2				ly		
cd037a_002				ly		
cd037a_002_1				ly		
cd037a_002_2				ly		
cd037a_003				ly		
cd037a_003_1				ly		
cd037a_003_2				ly		
cd037a_004				ly		
