face	skin	blockHealine
*		0
		
characters/female/textures/female_morphface000_000d.dds	characters/female/textures/female_skin_000d.dds	
characters/female/textures/female_morphface000_001d.dds	characters/female/textures/female_skin_000d.dds	
characters/female/textures/female_morphface000_009d.dds	characters/female/textures/female_skin_009d.dds	1
characters/female/textures/female_morphface000_100d.dds	characters/female/textures/female_skin_100d.dds	1
characters/female/textures/female_morphface000_101d.dds	characters/female/textures/female_skin_101d.dds	1
characters/female/textures/female_morphface000_200d.dds	characters/female/textures/female_skin_200d.dds	1
characters/female/textures/female_morphface000_201d.dds	characters/female/textures/female_skin_000d.dds	1
characters/female/textures/female_morphface000_202d.dds	characters/female/textures/female_skin_202d.dds	1
characters/female/textures/female_morphface000_300d.dds	characters/female/textures/female_skin_000d.dds	
characters/female/textures/female_morphface001_000d.dds	characters/female/textures/female_skin_000d.dds	
characters/male/textures/male_morphface000_000d.dds	characters/male/textures/male_skin_000d.dds	
characters/male/textures/male_morphface000_001d.dds	characters/male/textures/male_skin_000d.dds	1
characters/male/textures/male_morphface000_002d.dds	characters/male/textures/male_skin_200d.dds	1
characters/male/textures/male_morphface000_003d.dds	characters/male/textures/male_skin_300d.dds	1
characters/male/textures/male_morphface000_008d.dds	characters/male/textures/male_skin_008d.dds	1
characters/male/textures/male_morphface000_100d.dds	characters/male/textures/male_skin_201d.dds	
characters/male/textures/male_morphface000_101d.dds	characters/male/textures/male_skin_000d.dds	
characters/male/textures/male_morphface000_102d.dds	characters/male/textures/male_skin_201d.dds	
characters/male/textures/male_morphface000_200d.dds	characters/male/textures/male_skin_000d.dds	
characters/male/textures/male_morphface000_201d.dds	characters/male/textures/male_skin_001d.dds	
characters/male/textures/male_morphface000_300d.dds	characters/male/textures/male_skin_000d.dds	
characters/male/textures/male_morphface000_999d.dds	characters/male/textures/male_skin_999d.dds	
characters/male/textures/male_morphface001_000d.dds	characters/male/textures/male_skin_000d.dds	
characters/male/textures/male_morphface001_001d.dds	characters/male/textures/male_skin_201d.dds	
characters/male/textures/male_morphface001_002d.dds	characters/male/textures/male_skin_999d.dds	
characters/male/textures/male_morphface100_000d.dds	characters/male/textures/male_skin_201d.dds	1
characters/male/textures/male_morphface000_500d.dds	characters/male/textures/male_skin_500d.dds	1
characters/female/textures/female_morphface000_301d.dds	characters/female/textures/female_skin_301d.dds	1
characters/male/textures/male_morphface000_301d.dds	characters/male/textures/male_skin_301d.dds	1
characters/luoli/textures/luoli_morphface000_000d.dds	characters/luoli/textures/luoli_skin_000d.dds	
characters/male/textures/male_morphface000_302d.dds	characters/male/textures/male_skin_302d.dds	
characters/male/textures/male_morphface000_303d.dds	characters/male/textures/male_skin_303d.dds	
characters/male/textures/male_morphface000_304d.dds	characters/male/textures/male_skin_304d.dds	
characters/male/textures/male_morphface000_305d.dds	characters/male/textures/male_skin_305d.dds	1
characters/male/textures/male_morphface000_306d.dds	characters/male/textures/male_skin_306d.dds	
characters/male/textures/male_morphface000_307d.dds	characters/male/textures/male_skin_307d.dds	
characters/male/textures/male_morphface000_308d.dds	characters/male/textures/male_skin_308d.dds	
characters/male/textures/male_morphface000_309d.dds	characters/male/textures/male_skin_309d.dds	
characters/male/textures/male_morphface000_310d.dds	characters/male/textures/male_skin_310d.dds	
characters/male/textures/male_morphface000_311d.dds	characters/male/textures/male_skin_311d.dds	
characters/female/textures/female_morphface000_302d.dds	characters/female/textures/female_skin_302d.dds	
characters/female/textures/female_morphface000_303d.dds	characters/female/textures/female_skin_303d.dds	
characters/female/textures/female_morphface000_304d.dds	characters/female/textures/female_skin_304d.dds	
characters/female/textures/female_morphface000_305d.dds	characters/female/textures/female_skin_305d.dds	
characters/female/textures/female_morphface000_306d.dds	characters/female/textures/female_skin_306d.dds	
characters/luoli/textures/luoli_morphface000_001d.dds	characters/luoli/textures/luoli_skin_001d.dds	
characters/luoli/textures/luoli_morphface000_002d.dds	characters/luoli/textures/luoli_skin_002d.dds	
characters/luoli/textures/luoli_morphface000_003d.dds	characters/luoli/textures/luoli_skin_003d.dds	
characters/luoli/textures/luoli_morphface000_004d.dds	characters/luoli/textures/luoli_skin_004d.dds	
characters/luoli/textures/luoli_morphface000_005d.dds	characters/luoli/textures/luoli_skin_005d.dds	
characters/luoli/textures/luoli_morphface000_006d.dds	characters/luoli/textures/luoli_skin_006d.dds	
characters/male/textures/male_morphface000_202d.dds	characters/male/textures/male_skin_202d.dds	
characters/b022_prophet/textures/female_morphface000_601d.dds	characters/b022_prophet/textures/female_skin_601d.dds	
characters/b022_prophet/textures/female_morphface000_602d.dds	characters/b022_prophet/textures/female_skin_602d.dds	
characters/b022_prophet/textures/female_morphface000_603d.dds	characters/b022_prophet/textures/female_skin_603d.dds	
characters/b022_prophet/textures/female_morphface000_604d.dds	characters/b022_prophet/textures/female_skin_604d.dds	
characters/b022_prophet/textures/female_morphface000_605d.dds	characters/b022_prophet/textures/female_skin_605d.dds	
characters/b022_prophet/textures/female_morphface000_606d.dds	characters/b022_prophet/textures/female_skin_606d.dds	
characters/male/textures/male_morphface200_000d.dds	characters/male/textures/male_skin_000d.dds	1
characters/male/textures/male_morphface200_001d.dds	characters/male/textures/male_skin_000d.dds	1
characters/female/textures/female_morphface000_203d.dds	characters/female/textures/female_skin_203d.dds	1
characters/female/textures/female_morphface000_013d.dds	characters/female/textures/female_skin_013d.dds	1
characters/male/textures/male_morphface000_015d.dds	characters/male/textures/male_skin_015d.dds	1
characters/male/textures/male_morphface000_014d.dds	characters/male/textures/male_skin_014d.dds	1
characters/male/textures/male_morphface000_016d.dds	characters/male/textures/male_skin_016d.dds	1
characters/male/textures/male_morphface000_013d.dds	characters/male/textures/male_skin_013d.dds	1
characters/b030_ghost/textures/female_morphface000_008d.dds	characters/b030_ghost/textures/female_skin_008d.dds	1
characters/female/textures/female_morphface000_014d.dds	characters/female/textures/female_skin_014d.dds	1
characters/luoli/textures/luoli_morphface000_202d.dds	characters/luoli/textures/luoli_skin_202d.dds	1
characters/female/textures/female_morphface000_204d.dds	characters/female/textures/female_skin_204d.dds	1
characters/male/textures/male_morphface000_205d.dds	characters/male/textures/male_skin_205d.dds	1
