ID	type	isPlayer	isGoods	icon	resource	texture	shell_step	fur_mask	tex_add_normal	noise_tile	fur_tile	mult_dark	mult_light	enhance
*（主角1开始,NPC100开始,最高不能超过255）	类型(0耳朵模型, 1尾巴模型)	玩家可用	是否商城独占	图标	资源名	默认花纹	炸毛层间间隔	炸毛长度遮罩图	炸毛方向法线图	炸毛噪点密度	炸毛贴图平铺次数	炸毛阴影增强	炸毛光照增强	炸毛弯曲程度
		1	0				0.26	characters/luoli/textures/luoli_tail_FM_002	characters/luoli/textures/luoli_tail_TN_002	1.018	1.128	0.916	1	7.3
1	0			fox_ear_001	characters/luoli/models/luoli_ear	characters/luoli/textures/luoli_ear_000	0.053	characters/luoli/textures/luoli_ear_FM_000	characters/luoli/textures/luoli_ear_TN_000	10	3.075	0.915	0.865	0.531
2	0			fox_ear_002	characters/luoli/models/luoli_ear	characters/luoli/textures/luoli_ear_000	0.053	characters/luoli/textures/luoli_ear_FM_001	characters/luoli/textures/luoli_ear_TN_001	3.473	1.659	0.915	1	1.186
3	0			fox_ear_003	characters/luoli/models/luoli_ear	characters/luoli/textures/luoli_ear_000	0.07	characters/luoli/textures/luoli_ear_FM_002	characters/luoli/textures/luoli_ear_TN_002	17	1.549	0.915	0.637	1.3
50	1			fox_tail_001	characters/luoli/models/luoli_tail	characters/luoli/textures/luoli_tail_001	0.226	characters/luoli/textures/luoli_tail_FM_000	characters/luoli/textures/luoli_tail_TN_000	4.38	3	0.996	0.704	2.3
51	1			fox_tail_002	characters/luoli/models/luoli_tail	characters/luoli/textures/luoli_tail_001	0.26	characters/luoli/textures/luoli_tail_FM_001	characters/luoli/textures/luoli_tail_TN_001	1.018	1.128	0.916	1	7.3
52	1			fox_tail_003	characters/luoli/models/luoli_tail	characters/luoli/textures/luoli_tail_001	0.6	characters/luoli/textures/luoli_tail_FM_002	characters/luoli/textures/luoli_tail_TN_002	3.695	1.283	0.916	0.928	6
53	1			fox_tail_004	characters/luoli/models/luoli_tail	characters/luoli/textures/luoli_tail_001	0.5	characters/luoli/textures/luoli_tail_FM_003	characters/luoli/textures/luoli_tail_TN_003	0.55	1.1	0.95	1	2
101	1	0			characters/luoli/models/luoli_tail	characters/luoli/textures/luoli_tail_101	0.482	characters/luoli/textures/luoli_tail_FM_002	characters/luoli/textures/luoli_tail_TN_002	3.673		0.823	1.314	1
102	0	0			characters/luoli/models/luoli_ear	characters/luoli/textures/luoli_ear_101	0.137	characters/luoli/textures/luoli_ear_FM_002	characters/luoli/textures/luoli_ear_TN_002	3.451		1	1	1
103	0	0			characters/luoli/models/luoli_ear	characters/luoli/textures/luoli_ear_102	0.137	characters/luoli/textures/luoli_ear_FM_002	characters/luoli/textures/luoli_ear_TN_002	3.451		1	1	1
104	1	0			characters/luoli/models/luoli_tail	characters/luoli/textures/luoli_tail_102	0.482	characters/luoli/textures/luoli_tail_FM_002	characters/luoli/textures/luoli_tail_TN_002	3.673		0.823	1.314	1
105	1	0			characters/luoli/models/luoli_tail	characters/luoli/textures/luoli_tail_100	0.482	characters/luoli/textures/luoli_tail_FM_002	characters/luoli/textures/luoli_tail_TN_002	3.673		0.823	1.314	1
106	0	0			characters/luoli/models/luoli_ear	characters/luoli/textures/luoli_ear_100	0.137	characters/luoli/textures/luoli_ear_FM_002	characters/luoli/textures/luoli_ear_TN_002	3.451		1	1	1
