ID	model_ID	color_ID	isPlayer	isGoods	icon	resource	foxi_resource	fur_color
*			玩家可用	是否商城独占	图标	资源路径	对应小狐狸图(只对应尾巴图)	半透明毛颜色(耳朵对应人耳朵, 尾巴对应小狐狸)
			1	0				
1	1	1			fur_color_000	characters/luoli/textures/luoli_ear_000		ffffff
2	1	2			fur_color_001	characters/luoli/textures/luoli_ear_001		CDE5E5
3	1	3			fur_color_002	characters/luoli/textures/luoli_ear_002		EFAFA7
4	1	4			fur_color_003	characters/luoli/textures/luoli_ear_003		FCE6C4
5	1	5			fur_color_004	characters/luoli/textures/luoli_ear_004		6BB5D4
6	1	6			fur_color_005	characters/luoli/textures/luoli_ear_005		93C1A5
7	1	7			fur_color_006	characters/luoli/textures/luoli_ear_006		DE4414
8	1	8		1	fur_color_007	characters/luoli/textures/luoli_ear_007		E2E2E2
9	1	9		1	fur_color_008	characters/luoli/textures/luoli_ear_008		9487A4
10	1	10	0		fur_color_009	characters/luoli/textures/luoli_ear_009		E28F1A
11	2	1			fur_color_000	characters/luoli/textures/luoli_ear_000		ffffff
12	2	2			fur_color_001	characters/luoli/textures/luoli_ear_001		CDE5E5
13	2	3			fur_color_002	characters/luoli/textures/luoli_ear_002		EFAFA7
14	2	4			fur_color_003	characters/luoli/textures/luoli_ear_003		FCE6C4
15	2	5			fur_color_004	characters/luoli/textures/luoli_ear_004		6BB5D4
16	2	6			fur_color_005	characters/luoli/textures/luoli_ear_005		93C1A5
17	2	7			fur_color_006	characters/luoli/textures/luoli_ear_006		DE4414
18	2	8		1	fur_color_007	characters/luoli/textures/luoli_ear_007		E2E2E2
19	2	9		1	fur_color_008	characters/luoli/textures/luoli_ear_008		9487A4
20	2	10	0		fur_color_009	characters/luoli/textures/luoli_ear_009		E28F1A
21	3	1			fur_color_000	characters/luoli/textures/luoli_ear_000		ffffff
22	3	2			fur_color_001	characters/luoli/textures/luoli_ear_001		CDE5E5
23	3	3			fur_color_002	characters/luoli/textures/luoli_ear_002		EFAFA7
24	3	4			fur_color_003	characters/luoli/textures/luoli_ear_003		FCE6C4
25	3	5			fur_color_004	characters/luoli/textures/luoli_ear_004		6BB5D4
26	3	6			fur_color_005	characters/luoli/textures/luoli_ear_005		93C1A5
27	3	7			fur_color_006	characters/luoli/textures/luoli_ear_006		DE4414
28	3	8		1	fur_color_007	characters/luoli/textures/luoli_ear_007		E2E2E2
29	3	9		1	fur_color_008	characters/luoli/textures/luoli_ear_008		9487A4
30	3	10	0		fur_color_009	characters/luoli/textures/luoli_ear_009		E28F1A
501	50	1			fur_color_000	characters/luoli/textures/luoli_tail_000	characters/littlefox_yf/textures/littlefox_yf_000	ffdaeb
502	50	2			fur_color_001	characters/luoli/textures/luoli_tail_001	characters/littlefox_yf/textures/littlefox_yf_001	CDE5E5
503	50	3			fur_color_002	characters/luoli/textures/luoli_tail_002	characters/littlefox_yf/textures/littlefox_yf_002	EFAFA7
504	50	4			fur_color_003	characters/luoli/textures/luoli_tail_003	characters/littlefox_yf/textures/littlefox_yf_003	FCE6C4
505	50	5			fur_color_004	characters/luoli/textures/luoli_tail_004	characters/littlefox_yf/textures/littlefox_yf_004	6BB5D4
506	50	6			fur_color_005	characters/luoli/textures/luoli_tail_005	characters/littlefox_yf/textures/littlefox_yf_005	93C1A5
507	50	7			fur_color_006	characters/luoli/textures/luoli_tail_006	characters/littlefox_yf/textures/littlefox_yf_006	DE4414
