ID	type	resource	group	headline	decorationSkin	mirror	icon
*	类型(0基础发型,1刘海,2发饰,3发际线匹配)	资源名			挂载是否蒙皮	镜像发饰模型需满足命名以_m结尾	
				hl001	0	0	
1	0	characters/male/models/male_hair_main_001	6010,6011,6012,6013,6014,6015,2503,2505,2507,2513	hl001			hair_m_001
2	0	characters/male/models/male_hair_main_002	6010,6011,6012,6013,6014,6015,2000,2001,2501,2507,2509,2511,2513	hl001			hair_m_002
3	0	characters/male/models/male_hair_main_003	6010,6011,6012,6013,6014,6015,2504,2515	hl001			hair_m_003
4	0	characters/male/models/male_hair_main_004	6010,6011,6013,6015,2000,2001,2501,2507,2511,2514	hl001			hair_m_004
5	0	characters/male/models/male_hair_main_005	6010,6011,6012,6013,6014,6015,2504,2506,2508,2510,2512,2515	hl001			hair_m_005
6	0	characters/male/models/male_hair_main_006	6010,6011,6012,6013,6014,6015,2002,2003,2502	hl001			hair_m_006
7	0	characters/male/models/male_hair_main_007	6010,6011,6012,6013,6014,6015,2003,2500,2516,2517,2518,2520	hl001			hair_m_007
8	0	characters/male/models/male_hair_main_008		hl001			hair_m_008
9	0	characters/male/models/male_hair_main_009		hl001			hair_m_009
10	0	characters/male/models/male_hair_main_010	2004,2519	hl002			hair_m_010
11	0	characters/female/models/female_hair_main_001	6010,6011,6013,6014,6015,1000,1501,1502,1530	hl001			hair_f_001
12	0	characters/female/models/female_hair_main_002	6010,6011,6012,6013,6014,6015,1000,1500,1501,1530	hl001			hair_f_002
13	0	characters/female/models/female_hair_main_003	6010,6011,6012,1513,1514,1515,1524,1530	hl001			hair_f_003
14	0	characters/female/models/female_hair_main_004	6010,6011,6013,6014,6015,1000,1504,1516,1517,1518	hl001			hair_f_004
15	0	characters/female/models/female_hair_main_005	6010,6011,6012,6013,6014,6015,1000,1003,1004,1504,1508,1516,1517,1518,1526	hl001			hair_f_005
16	0	characters/female/models/female_hair_main_006	6010,6011,6012,6013,6014,1001,1002,1504,1503,1510,1511	hl002			hair_f_006
17	0	characters/female/models/female_hair_main_007	6010,6011,1000,1503,1504,1510,1511	hl002			hair_f_007
18	0	characters/female/models/female_hair_main_008	6010,6011,6012,6013,6014,1000,1003,1503,1504,1510,1511	hl002			hair_f_008
19	0	characters/female/models/female_hair_main_009	6010,6011,6012,6013,6014,1503,1510,1511,1504,1528,1529	hl002			hair_f_009
20	0	characters/female/models/female_hair_main_010	6010,6011,1000,1503,1504,1510,1511	hl002			hair_f_010
21	0	characters/female/models/female_hair_main_011	6010,6011,6012,6013,6014,6015,1000,1005,1505,1506,1507,1516,1517,1518,1530	hl001			hair_f_011
22	0	characters/female/models/female_hair_main_012	1000,1003,1503,1510,1511	hl001			hair_f_012
23	0	characters/female/models/female_hair_main_013	1503,1510,1511	hl001			hair_f_013
24	1	characters/male/models/male_hair_fringe_001	6011				fringe_m_001
25	1	characters/male/models/male_hair_fringe_002	6010				fringe_m_002
26	1	characters/male/models/male_hair_fringe_003	6013				fringe_m_003
27	1	characters/male/models/male_hair_fringe_004	6011				fringe_m_004
28	1	characters/male/models/male_hair_fringe_005	6013				fringe_m_005
29	1	characters/male/models/male_hair_fringe_006	6013				fringe_m_006
30	1	characters/male/models/male_hair_fringe_007	6015				fringe_m_007
31	1	characters/male/models/male_hair_fringe_008	6015				fringe_m_008
32	1	characters/male/models/male_hair_fringe_009	6015				fringe_m_009
33	1	characters/male/models/male_hair_fringe_010	6010				fringe_m_010
34	1	characters/female/models/female_hair_fringe_001	6013				fringe_f_001
35	1	characters/female/models/female_hair_fringe_002	6011				fringe_f_002
36	1	characters/female/models/female_hair_fringe_003	6010				fringe_f_003
37	1	characters/female/models/female_hair_fringe_004	6011				fringe_f_004
38	1	characters/female/models/female_hair_fringe_005	6010				fringe_f_005
39	1	characters/female/models/female_hair_fringe_006	6015				fringe_f_006
40	1	characters/female/models/female_hair_fringe_007	6014				fringe_f_007
41	1	characters/female/models/female_hair_fringe_008	6013				fringe_f_008
42	1	characters/female/models/female_hair_fringe_009	6012				fringe_f_009
43	1	characters/female/models/female_hair_fringe_010	6012				fringe_f_010
44	2	models/pendant/gzw/male_fs001	2503				fs_m_001
45	2	models/pendant/gzw/male_fs001	2504				fs_m_001
46	2	models/pendant/gzw/male_fs002	2503				fs_m_002
47	2	models/pendant/gzw/male_fs002	2504				fs_m_002
48	2	models/pendant/gzw/male_fs003	2505				fs_m_003
49	2	models/pendant/gzw/male_fs003	2506				fs_m_003
50	2	models/pendant/gzw/male_fs004	2507				fs_m_004
51	2	models/pendant/gzw/male_fs004	2508				fs_m_004
52	2	models/pendant/gzw/male_fs005	2509				fs_m_005
53	2	models/pendant/gzw/male_fs005	2510				fs_m_005
54	2	models/pendant/gzw/male_fs006	2511				fs_m_006
55	2	models/pendant/gzw/male_fs006	2512				fs_m_006
56	2	characters/male/models/male_fs007	2000		1		fs_m_007
57	2	characters/male/models/male_fs008	2001		1		fs_m_008
58	2	characters/male/models/male_fs010	2002		1		fs_m_010
59	2	characters/male/models/male_fs011	2002		1		fs_m_011
60	2	characters/male/models/male_fs012	2003		1		fs_m_012
61	2	characters/male/models/male_fs013	2002		1		fs_m_013
62	2	characters/male/models/male_fs014	2002		1		fs_m_014
63	2	models/pendant/gzw/male_fs009	2500				fs_m_009
