ID	x	y	z	rx	ry	rz	sx	sy	sz
	位置x	位置y	位置z	旋转x	旋转y	旋转z	缩放x	缩放y	缩放z
							1	1	1
1	-4.1	-0.3	20.8	90	0	-25			
2	-3.8	-0.3	21.6	90	0	-15			
1500	-5.3	-0.1	16	90	0	-36.5			
1501	-5.6	-0.1	16.2	90	0	-37.5			
1502	-5.5	0	15.6	90	0	-38.5			
1503	2.7	-7.4	9.2	109.5	-2.5	3			
1504	6.3	0	12.7	90	0	-10			
1505	-8.8	-0.3	10	90	0	0			
1506	-8.1	0	5.1	90	0	-13.5			
1507	-7.3	0	1.3	90	-3.5	-19			
1508	-8.1	0	3.7	90	0	-13.5			
1509	-8	-0.2	5.9	90	0	-26			
1510	2	-7.5	10.6	112	0	0			
1511	2	-7.5	10.6	99	0	0			
1512	-8.8	0.2	11.2	90	0	-91.5			
1513	2.7	-6.8	9.2	97	-2.5	3			
1514	2	-7	10.6	109	0	0			
1515	2	-6.9	10.6	89	10	0			
1516	2.7	-7.1	9.2	104.5	0.5	3			
1517	2	-7.3	10.6	110	0	0			
1518	2	-7.1	10.6	89	10	0			
1519	2.9	-7.3	11	108	5.5	3			
1520	-3.9	-8	12.6	144.5	-5.5	20.5			
1521	-2.2	-7.6	12.6	89	12	-13.5			
1522	-1.5	-7.7	11.6	77.5	14	0			
1523	-5.2	-0.1	18.8	90	3	134			
1524	-7.9	0	9.8	90	-3.5	-4.5			
1525	-8.7	0.1	10.3	90	0	6			
1526	-8.1	0.1	1.3	90	-4.5	-22.5			
1527	-7.1	0	1.3	90	2.5	-29.5			
1528	-7.2	-3.3	5.5	-81.5	-48.5	-169.5			
1529	-6.6	-4.4	6.8	114	42.5	-29.5			
1530	6	0	12.7	90	0	-22			
2500	-8.9	0.1	8	90	-2	4.5			
2501	-2.3	0	20.9	90	0	-20			
2502	-7.9	0	10.7	90	0	0			
2503	-3	0	21.9	90	0	-13.5			
2504	-3.9	0	20.1	90	0	-13.5			
2505	-3	-0.3	21.9	90	0	-22			
2506	-4	-0.1	20.2	90	0	-40			
2507	-2.5	-0.1	20.5	90	0	-25.5			
2508	-3.9	-0.2	20.1	90	0	-36.5			
2509	-2.2	-0.1	20.7	90	0	-23			
2510	-4	-0.1	20.5	90	0.5	-31			
2511	-2.1	0	21.4	90	0	-21.5			
2512	-3.6	-0.1	20.5	90	0	-31			
2513	-2.9	-0.2	21.1	-33.5	-23	18.5	1.1	1.1	1.1
2514	-2.3	0	20.7	0	-21	0			
2515	-3.9	-0.2	20.1	0	-33.5	0			
2516	-8.4	0.2	9.9	88	0	0			
2517	-8.5	0.2	7.4	-86.5	0	-7			
2518	-8.6	0.2	8.3	90	0	4			
2519	4.4	-7.8	11.2	25.5	30	19.5			
2520	-8.9	0	8.4	90	0	5			
2521	8.4	0	13.8	-90	0	23			
3500	-0.6	0	15.8	90	0	-19	0.69	0.69	0.69
3501	-3.1	0	15.8	90	0	-41			
3502	-8	0.2	3.4	90	0	-7.5			
3503	-1.1	6.9	10.8	-56.5	-86	18.5			
3504	3	-6.2	9.6	35.5	-57.5	-9	0.1	0.1	0.1
3505	-8.3	0.3	3.5	90	0	0	0.11	0.11	0.11
3506	-1.2	7.6	7.3	-64	81.5	-15	0.12	0.12	0.12
3507	-3.6	7.8	9.2	-101.5	-4	0			
3508	-2.3	8.2	8.6	-101.5	-4	0			
3509	2.6	-6.5	8.8	34.5	0.5	-8	0.53	0.53	0.53
3510	4.7	-6.6	8	34.5	0.5	-7.5	0.64	0.64	0.64
3511	-1.2	-7.4	7.8	37	-6	0	0.5	0.5	0.5
3512	-3.8	-7.5	8.6	26	4.5	-5.5	0.72	0.72	0.72
3513	-6.2	-5.6	-2.5	-69.5	-27	26.5			
