ID	resource	type	haircolor	brightness	glossness	specular	headlineID	color	isPlayer	desc
*	资源路径	0:基础发色,1:发饰贴图					发际线编号	缩略图颜色		[N]
			FFFFFF	1	0.575	1.681	0	FFFFFF	0	
1	characters/male/textures/head_001	0					001	020202	1	默认
2	characters/male/textures/head_003	0	2F1605				001	4b2e0f	1	棕色
3	characters/male/textures/head_003	0	18070F				001	3d1729	1	偏紫
4	characters/female/textures/head_001	0					001	020202	1	默认
5	characters/female/textures/head_003	0	2F1605				001	4b2e0f	1	棕色
6	characters/female/textures/head_003	0	18070F				001	3d1729	1	偏紫
11	characters/male/textures/head_003	0	0C0202				001	39170c	1	棕红
12	characters/male/textures/head_003	0	2E2C26				001	3c3b37	1	偏灰
13	characters/male/textures/head_003	0	08151A				001	182d35	1	偏蓝
14	characters/female/textures/head_003	0	0C0202				001	39170c	1	棕红
15	characters/female/textures/head_003	0	2E2C26				001	3c3b37	1	偏灰
16	characters/female/textures/head_003	0	08151A				001	182d35	1	偏蓝
17	characters/male/textures/head_003	0	6B1008	1.4			008	6B1008	0	红
18	characters/male/textures/head_002	0	EFCB98	1.5			009	EFCB98	0	金
19	characters/female/textures/head_003	0	6B1008	1.4			008	6B1008	0	红
20	characters/female/textures/head_002	0	EFCB98	1.5			009	EFCB98	0	金
21	characters/male/textures/head_003	0	FFFFFF	1.8			002	FFFFFF	0	白
22	characters/female/textures/head_003	0	FFFFFF	1.8			002	FFFFFF	0	白
23	characters/luoli/textures/head_001	0					001	020202	1	默认
24	characters/luoli/textures/head_002	0	2F1605				001	4b2e0f	1	棕色
25	characters/luoli/textures/head_002	0	18070F				001	3d1729	1	偏紫
26	characters/luoli/textures/head_002	0	0C0202				001	39170c	1	棕红
27	characters/luoli/textures/head_002	0	2E2C26				001	3c3b37	1	偏灰
28	characters/luoli/textures/head_002	0	08151A				001	182d35	1	偏蓝
29	characters/luoli/textures/head_002	0	6B1008	1.4			008	6B1008	0	红
30	characters/luoli/textures/head_002	0	EFCB98	1.5			009	EFCB98	0	金
31	characters/luoli/textures/head_002	0	FFFFFF	1.8			002	FFFFFF	0	白
1000	models/pendant/gzw/male_fs001	1	male_fs001=0,0,0;					b3dfa0	1	原色_翠
1001	models/pendant/gzw/male_fs002	1	male_fs002=0,0,0;					292222	1	原色_黑
1002	models/pendant/gzw/male_fs003	1	male_fs003=0,0,0;					dfdfdf	1	原色_银
1003	models/pendant/gzw/male_fs004	1	male_fs004=21,-25,24;					ffffff	0	白
1004	models/pendant/gzw/male_fs004	1	male_fs004=145,-8,-9;					d94545	1	红
1005	models/pendant/gzw/male_fs004	1	male_fs004=185,9,12;					ffd966	1	黄
1006	models/pendant/gzw/male_fs004	1	male_fs004=241,-14,6;					b3dfa0	1	浅绿
1007	models/pendant/gzw/male_fs004	1	male_fs004=330,-8,-1;					53bbb7	1	蓝绿
1008	models/pendant/gzw/male_fs004	1	male_fs004=0,0,0;					49c5ea	1	原色_蓝
1009	models/pendant/gzw/male_fs004	1	male_fs004=53,-16,7;					8e7cc3	1	紫
1010	models/pendant/gzw/male_fs005	1	male_fs005=0,0,0;					dfdfdf	1	原色_银
1011	models/pendant/gzw/male_fs006	1	male_fs006=0,0,0;					53bbb7	1	原色_蓝绿
1012	characters/male/models/male_fs007	1	male_fs007<cloth>=0,-50,50;					ffffff	1	白
1013	characters/male/models/male_fs007	1	male_fs007<cloth>=0,0,0;					d94545	1	原色_红
1014	characters/male/models/male_fs007	1	male_fs007<cloth>=46,-16,28;					ffd966	1	黄
1015	characters/male/models/male_fs007	1	male_fs007<cloth>=92,-38,23;					b3dfa0	1	浅绿
1016	characters/male/models/male_fs007	1	male_fs007<cloth>=183,0,0;					53bbb7	1	蓝绿
1017	characters/male/models/male_fs007	1	male_fs007<cloth>=202,0,8;					49c5ea	1	蓝
1018	characters/male/models/male_fs007	1	male_fs007<cloth>=284,-27,9;					8753d0	1	紫
1019	characters/male/models/male_fs008	1	Material #10/male_fs008=0,0,0;Material #10/male_fs008<cloth>=0,0,0;					d4bd77	1	原色_金
1020	characters/male/models/male_fs008	1	Material #10/male_fs008=164,0,0;Material #10/male_fs008<cloth>=0,0,0;					9fc5e8	1	蓝
1021	characters/male/models/male_fs008	1	Material #10/male_fs008=0,0,50;Material #10/male_fs008<cloth>=0,0,0;					dfdfdf	1	银
1022	models/pendant/gzw/male_fs009	1	male_fs009=0,0,0;					dfdfdf	1	原色_银
1023	characters/male/models/male_fs010	1	Material #21/male_fs010=360,0,37;Material #21/male_fs010<cloth>=360,0,37;					ffffff	1	白
1024	characters/male/models/male_fs010	1	Material #21/male_fs010=150,19,-16;Material #21/male_fs010<cloth>=150,14,-27;					d94545	1	红
1025	characters/male/models/male_fs010	1	Material #21/male_fs010=175,11,0;Material #21/male_fs010<cloth>=175,12,0;					ffd966	1	黄
1026	characters/male/models/male_fs010	1	Material #21/male_fs010=228,11,11;Material #21/male_fs010<cloth>=234,4,3;					b3dfa0	1	浅绿
1027	characters/male/models/male_fs010	1	Material #21/male_fs010=314,0,0;Material #21/male_fs010<cloth>=314,0,0;					53bbb7	1	蓝绿
1028	characters/male/models/male_fs010	1	Material #21/male_fs010=0,0,0;Material #21/male_fs010<cloth>=0,0,0;					49c5ea	1	原色_蓝
1029	characters/male/models/male_fs010	1	Material #21/male_fs010=30,-8,0;Material #21/male_fs010<cloth>=30,-9,0;					8e7cc3	1	紫
1030	characters/male/models/male_fs011	1	male_fs011=131,2,-2;					d94545	1	红
1031	characters/male/models/male_fs011	1	male_fs011=172,-6,13;					ffd966	1	黄
1032	characters/male/models/male_fs011	1	male_fs011=218,-22,0;					b3dfa0	1	浅绿
1033	characters/male/models/male_fs011	1	male_fs011=307,-16,0;					53bbb7	1	蓝绿
1034	characters/male/models/male_fs011	1	male_fs011=333,9,10;					49c5ea	1	浅蓝
1035	characters/male/models/male_fs011	1	male_fs011=0,0,0;					1c4587	1	原色_深蓝
1036	characters/male/models/male_fs012	1	male_fs012<cloth>=174,-50,19,characters/male/textures/male_fs012_000k.dds;					ffffff	1	白
1037	characters/male/models/male_fs013	1	male_fs013<cloth>=0,-50,50;					ffffff	0	白
1038	characters/male/models/male_fs013	1	male_fs013<cloth>=0,0,0;					d94545	1	原色_红
1039	characters/male/models/male_fs013	1	male_fs013<cloth>=35,-33,19;					ffd966	1	黄
1040	characters/male/models/male_fs013	1	male_fs013<cloth>=91,-50,19;					b3dfa0	1	浅绿
1041	characters/male/models/male_fs013	1	male_fs013<cloth>=166,-33,8;					53bbb7	1	蓝绿
1042	characters/male/models/male_fs013	1	male_fs013<cloth>=191,-33,8;					49c5ea	1	蓝
1043	characters/male/models/male_fs013	1	male_fs013<cloth>=253,-50,10;					8753d0	1	紫
1044	characters/male/models/male_fs014	1	male_fs014<cloth>=196,0,0;					d94545	1	红
1045	characters/male/models/male_fs014	1	male_fs014<cloth>=247,17,8;					ffd966	1	黄
1046	characters/male/models/male_fs014	1	male_fs014<cloth>=295,0,7;					b3dfa0	1	浅绿
1047	characters/male/models/male_fs014	1	male_fs014<cloth>=0,0,0;					53bbb7	1	原色_蓝绿
1048	characters/male/models/male_fs014	1	male_fs014<cloth>=33,8,0;					49c5ea	1	蓝
1049	characters/male/models/male_fs014	1	male_fs014<cloth>=76,-10,0;					8753d0	1	紫
1050	models/pendant/gzw/male_fs015	1	male_fs015=0,0,0;					d4bd77	1	原色_麻
1051	models/pendant/gzw/male_fs016	1	male_fs016=0,0,0;					ffffff	1	原色_白
1052	models/pendant/gzw/male_fs016	1	male_fs016=91,11,-8;					a8d7c1	1	翠
1053	characters/male/models/male_fs017	1	Material #32/male_fs017=0,0,0;Material #32/male_fs017<cloth>=151,17,-3;					d94545	1	红
1054	characters/male/models/male_fs017	1	Material #32/male_fs017=0,0,0;Material #32/male_fs017<cloth>=194,34,22;					ffd966	1	黄
1055	characters/male/models/male_fs017	1	Material #32/male_fs017=0,0,0;Material #32/male_fs017<cloth>=248,3,10;					b3dfa0	1	浅绿
