ID	tattoo_type	gender	res	x	y	mirror	opacity	icon	isPlayer	isGoods	skeleton_mask	name
*	类型（0纹身1眉毛2眼影3口红4腮红5胡子6可移动纹身7发髻线8眼影闪粉9口红闪粉）	体型（0成男1成女,其他见character_customize_skel_config.tab）	资源	水平位置(0到1取值)	垂直位置（0到1取值）	是否镜像显示	透明度	界面预览图		是否商城独占	骨骼类型( 1男2女4萝莉）	编辑器显示中文名
	0	-1		0.25	0.25	0	1		1	0	0	
6	1	0	characters/tattoos/male/male_eyebrow/male_eyebrow_001	0.243	0.201	1		male_eyebrow_001			1	
7	1	0	characters/tattoos/male/male_eyebrow/male_eyebrow_002	0.243	0.201	1		male_eyebrow_002			1	
8	1	0	characters/tattoos/male/male_eyebrow/male_eyebrow_003	0.243	0.201	1		male_eyebrow_003			1	
9	1	0	characters/tattoos/male/male_eyebrow/male_eyebrow_004	0.243	0.201	1		male_eyebrow_004			1	
10	1	0	characters/tattoos/male/male_eyebrow/male_eyebrow_005	0.243	0.201	1		male_eyebrow_005			1	
11	1	0	characters/tattoos/male/male_eyebrow/male_eyebrow_006	0.243	0.201	1		male_eyebrow_006			1	
12	1	0	characters/tattoos/male/male_eyebrow/male_eyebrow_007	0.243	0.201	1		male_eyebrow_007			1	
13	1	0	characters/tattoos/male/male_eyebrow/male_eyebrow_008	0.243	0.201	1		male_eyebrow_008			1	
14	1	1	characters/tattoos/female/female_eyebrow/female_eyebrow_001	0.239	0.153	1		female_eyebrow_001			2	黑眉毛1
15	1	1	characters/tattoos/female/female_eyebrow/female_eyebrow_002	0.239	0.153	1		female_eyebrow_002			2	黑眉毛2
16	1	1	characters/tattoos/female/female_eyebrow/female_eyebrow_003	0.239	0.153	1		female_eyebrow_003			2	黑眉毛3
17	1	1	characters/tattoos/female/female_eyebrow/female_eyebrow_004	0.239	0.153	1		female_eyebrow_004			2	黑眉毛4
18	1	1	characters/tattoos/female/female_eyebrow/female_eyebrow_005	0.239	0.153	1		female_eyebrow_005			2	黑眉毛5
19	1	1	characters/tattoos/female/female_eyebrow/female_eyebrow_006	0.239	0.153	1		female_eyebrow_006			2	黑眉毛6
20	1	1	characters/tattoos/female/female_eyebrow/female_eyebrow_007	0.239	0.153	1		female_eyebrow_007			2	黑眉毛7
21	1	1	characters/tattoos/female/female_eyebrow/female_eyebrow_008	0.239	0.153	1		female_eyebrow_008			2	黑眉毛8
22	1	1	characters/tattoos/female/female_eyebrow/female_eyebrow_009	0.239	0.153	1		female_eyebrow_009			2	黑眉毛9
23	2	0	characters/tattoos/male/male_eshadow/male_eshadow_001	0.212	0.244	1		eshadow_000	0		1	
24	2	1	characters/tattoos/female/female_eshadow/female_eshadow_001	0.19	0.213	1		eshadow_001			2	眼影1
25	2	1	characters/tattoos/female/female_eshadow/female_eshadow_002	0.19	0.213	1		eshadow_002			2	眼影2
26	2	1	characters/tattoos/female/female_eshadow/female_eshadow_003	0.19	0.213	1		eshadow_003			2	眼影3
27	2	1	characters/tattoos/female/female_eshadow/female_eshadow_004	0.19	0.213	1		eshadow_004			2	眼影4
28	2	1	characters/tattoos/female/female_eshadow/female_eshadow_005	0.19	0.213	1		eshadow_005			2	眼影5
29	2	1	characters/tattoos/female/female_eshadow/female_eshadow_006	0.19	0.213	1		eshadow_006			2	眼影6
30	2	1	characters/tattoos/female/female_eshadow/female_eshadow_007	0.19	0.213	1		eshadow_007			2	眼影7
31	4	1	characters/tattoos/female/female_brush/female_brush_001	0	0.15	1		brush_001			2	腮红1
32	4	1	characters/tattoos/female/female_brush/female_brush_002	0	0.15	1		brush_002			2	腮红2
33	4	1	characters/tattoos/female/female_brush/female_brush_003	0	0.15	1		brush_003			2	腮红3
34	4	1	characters/tattoos/female/female_brush/female_brush_004	0	0.15	1		brush_004			2	腮红4
35	4	1	characters/tattoos/female/female_brush/female_brush_005	0	0.15	1		brush_005			2	腮红5
36	4	1	characters/tattoos/female/female_brush/female_brush_006	0	0.15	1		brush_006			2	腮红6
37	4	1	characters/tattoos/female/female_brush/female_brush_007	0	0.15	1		brush_007			2	腮红7
38	5	0	characters/tattoos/male/male_beard/male_beard_001	0	0.408			beard_001			1	
39	5	0	characters/tattoos/male/male_beard/male_beard_002	0	0.408			beard_002			1	
40	5	0	characters/tattoos/male/male_beard/male_beard_003	0	0.408			beard_003			1	
41	5	0	characters/tattoos/male/male_beard/male_beard_004	0	0.408			beard_004			1	
42	5	0	characters/tattoos/male/male_beard/male_beard_005	0	0.408			beard_005			1	
43	5	0	characters/tattoos/male/male_beard/male_beard_006	0	0.408			beard_006			1	
44	5	0	characters/tattoos/male/male_beard/male_beard_007	0	0.408			beard_007			1	
45	5	0	characters/tattoos/male/male_beard/male_beard_008	0	0.408			beard_008			1	
46	5	0	characters/tattoos/male/male_beard/male_beard_009	0	0.408			beard_009			1	
47	3	0	characters/tattoos/male/male_lips/male_lips_001	0.375	0.54			male_lips_001	0		1	
48	3	0	characters/tattoos/male/male_lips/male_lips_002	0.375	0.54			male_lips_002			1	
49	3	0	characters/tattoos/male/male_lips/male_lips_003	0.375	0.54			male_lips_003			1	
51	3	1	characters/tattoos/female/female_lips/female_lips_001	0.375	0.48			female_lips_001			2	
52	3	1	characters/tattoos/female/female_lips/female_lips_002	0.375	0.48			female_lips_002			2	
53	3	1	characters/tattoos/female/female_lips/female_lips_003	0.375	0.48			female_lips_003			2	
54	3	1	characters/tattoos/female/female_lips/female_lips_004	0.375	0.48			female_lips_004			2	
55	3	1	characters/tattoos/female/female_lips/female_lips_005	0.375	0.48			female_lips_005			2	
56	3	1	characters/tattoos/female/female_lips/female_lips_006	0.375	0.48			female_lips_006			2	
58	0	0	characters/tattoos/male/male_tattoo/male_tattoo_001	0.437	0.187			t001			1	
59	0	0	characters/tattoos/male/male_tattoo/male_tattoo_002	0.469	0.218			t002			1	
60	0	0	characters/tattoos/male/male_tattoo/male_tattoo_003	0	0.099			t003			1	
61	0	0	characters/tattoos/male/male_tattoo/male_tattoo_004	0.25	0.099			t004			1	
62	0	0	characters/tattoos/male/male_tattoo/male_tattoo_005	0.25	0.099			t005			1	
63	0	0	characters/tattoos/male/male_tattoo/male_tattoo_006	0	0.099			t006			1	
64	0	0	characters/tattoos/male/male_tattoo/male_tattoo_007	0	0.099			t007			1	
65	0	0	characters/tattoos/male/male_tattoo/male_tattoo_008	0	0.145			t008			1	
66	0	0	characters/tattoos/male/male_tattoo/male_tattoo_009	0.437	0.187			t009			1	
67	0	0	characters/tattoos/male/male_tattoo/male_tattoo_010	0	0.145			t010			1	
68	0	0	characters/tattoos/male/male_tattoo/male_tattoo_011	0.25	0.145			t011			1	
69	0	0	characters/tattoos/male/male_tattoo/male_tattoo_012	0.25	0.145			t012			1	
70	0	0	characters/tattoos/male/male_tattoo/male_tattoo_013	0.437	0.187			t013			1	
71	0	1	characters/tattoos/female/female_tattoo/female_tattoo_001	0.438	0.134			t001			2	
72	0	1	characters/tattoos/female/female_tattoo/female_tattoo_002	0.469	0.174			t002			2	
73	0	1	characters/tattoos/female/female_tattoo/female_tattoo_003	0	0.046			t003			2	
74	0	1	characters/tattoos/female/female_tattoo/female_tattoo_004	0.25	0.046			t004			2	
75	0	1	characters/tattoos/female/female_tattoo/female_tattoo_005	0.25	0.046			t005			2	
76	0	1	characters/tattoos/female/female_tattoo/female_tattoo_006	0	0.046			t006			2	
77	0	1	characters/tattoos/female/female_tattoo/female_tattoo_007	0	0.046			t007			2	
78	0	1	characters/tattoos/female/female_tattoo/female_tattoo_008	0	0.046			t008			2	
79	0	1	characters/tattoos/female/female_tattoo/female_tattoo_009	0.375	0.058			t009			2	
80	0	1	characters/tattoos/female/female_tattoo/female_tattoo_010	0	0.046			t010			2	
81	0	1	characters/tattoos/female/female_tattoo/female_tattoo_011	0.25	0.075			t011			2	
82	0	1	characters/tattoos/female/female_tattoo/female_tattoo_012	0.25	0.075			t012			2	
83	0	1	characters/tattoos/female/female_tattoo/female_tattoo_013	0.438	0.095			t013			2	
86	7	0	characters/tattoos/male/male_hairline/male_hl001_001	0	0			male_morphface000			1	
87	7	0	characters/tattoos/male/male_hairline/male_hl001_002	0	0			male_morphface000			1	
88	7	0	characters/tattoos/male/male_hairline/male_hl002_001	0	0			male_morphface000			1	
